       lon        lat  Cref(km/s)   C(km/s)  Cpert(%)
 33.240832  33.583538       3.242  3.248219 -0.191814
 33.440832  33.583538       3.242  3.248282 -0.193756
 32.640832  33.783538       3.242  3.248104 -0.188292
 32.840832  33.783538       3.242  3.248110 -0.188473
 33.040832  33.783538       3.242  3.248175 -0.190460
 33.240832  33.783538       3.242  3.248227 -0.192085
 33.440832  33.783538       3.242  3.248279 -0.193666
 33.640832  33.783538       3.242  3.248331 -0.195291
 33.840832  33.783538       3.242  3.248394 -0.197233
 34.040832  33.783538       3.242  3.248415 -0.197865
 25.440832  33.983538       3.242  3.241517  0.014901
 25.640832  33.983538       3.242  3.241511  0.015081
 25.840832  33.983538       3.242  3.241507  0.015217
 32.440832  33.983538       3.242  3.248104 -0.188292
 32.640832  33.983538       3.242  3.248104 -0.188292
 32.840832  33.983538       3.242  3.248129 -0.189060
 33.040832  33.983538       3.242  3.248179 -0.190595
 33.240832  33.983538       3.242  3.248229 -0.192130
 33.440832  33.983538       3.242  3.248280 -0.193711
 33.640832  33.983538       3.242  3.248331 -0.195291
 33.840832  33.983538       3.242  3.248381 -0.196826
 34.040832  33.983538       3.242  3.248415 -0.197865
 34.240832  33.983538       3.242  3.248415 -0.197865
 25.040832  34.183538       3.242  3.241518  0.014856
 25.240832  34.183538       3.242  3.241518  0.014856
 25.440832  34.183538       3.242  3.241514  0.014991
 25.640832  34.183538       3.242  3.241511  0.015081
 25.840832  34.183538       3.242  3.241507  0.015217
 26.040832  34.183538       3.242  3.241504  0.015307
 26.240832  34.183538       3.242  3.241618  0.011785
 26.440832  34.183538       3.242  3.241871  0.003974
 26.640832  34.183538       3.242  3.242089 -0.002754
 26.840832  34.183538       3.242  3.242307 -0.009482
 27.040832  34.183538       3.242  3.242559 -0.017249
 27.240832  34.183538       3.242  3.242562 -0.017339
 27.440832  34.183538       3.242  3.242348 -0.010747
 27.640832  34.183538       3.242  3.242148 -0.004561
 27.840832  34.183538       3.242  3.241927  0.002258
 32.240832  34.183538       3.242  3.258825 -0.518955
 32.440832  34.183538       3.242  3.256629 -0.451224
 32.640832  34.183538       3.242  3.254322 -0.380062
 32.840832  34.183538       3.242  3.253373 -0.350802
 33.040832  34.183538       3.242  3.252490 -0.323574
 33.240832  34.183538       3.242  3.252831 -0.334095
 33.440832  34.183538       3.242  3.252763 -0.331972
 33.640832  34.183538       3.242  3.251918 -0.305919
 33.840832  34.183538       3.242  3.251411 -0.290295
 34.040832  34.183538       3.242  3.251591 -0.295849
 34.240832  34.183538       3.242  3.252700 -0.330031
 34.440832  34.183538       3.242  3.253509 -0.355001
 24.840832  34.383538       3.242  3.241657  0.010566
 25.040832  34.383538       3.242  3.241573  0.013185
 25.240832  34.383538       3.242  3.241517  0.014901
 25.440832  34.383538       3.242  3.241514  0.014991
 25.640832  34.383538       3.242  3.241510  0.015127
 25.840832  34.383538       3.242  3.241507  0.015217
 26.040832  34.383538       3.242  3.241502  0.015352
