       lon        lat  Cref(km/s)   C(km/s)  Cpert(%)
 33.466465  32.045334       4.613  4.616908 -0.084708
 33.666465  32.045334       4.613  4.617770 -0.103400
 34.066465  32.045334       4.613  4.621105 -0.175701
 34.266465  32.045334       4.613  4.622608 -0.208278
 34.466465  32.045334       4.613  4.624088 -0.240362
 34.866465  32.045334       4.613  4.626038 -0.282634
 35.066465  32.045334       4.613  4.625486 -0.270680
 35.266465  32.045334       4.613  4.624977 -0.259629
 35.466465  32.045334       4.613  4.624389 -0.246894
 32.666465  32.245334       4.613  4.614592 -0.034508
 32.866465  32.245334       4.613  4.614592 -0.034508
 33.066465  32.245334       4.613  4.615454 -0.053199
 33.266465  32.245334       4.613  4.616191 -0.069180
 33.466465  32.245334       4.613  4.616915 -0.084872
 33.666465  32.245334       4.613  4.617639 -0.100565
 33.866465  32.245334       4.613  4.619449 -0.139797
 34.066465  32.245334       4.613  4.621401 -0.182110
 34.266465  32.245334       4.613  4.622657 -0.209346
 34.466465  32.245334       4.613  4.623912 -0.236542
 34.666465  32.245334       4.613  4.625140 -0.263162
 34.866465  32.245334       4.613  4.625888 -0.279389
 35.066465  32.245334       4.613  4.625452 -0.269940
 35.266465  32.245334       4.613  4.625020 -0.260574
 35.466465  32.245334       4.613  4.624577 -0.250961
 35.666465  32.245334       4.613  4.624033 -0.239171
 35.866465  32.245334       4.613  4.623974 -0.237897
 32.466465  32.445334       4.613  4.615134 -0.046257
 32.666465  32.445334       4.613  4.614903 -0.041245
 32.866465  32.445334       4.613  4.614753 -0.038000
 33.066465  32.445334       4.613  4.615465 -0.053446
 33.266465  32.445334       4.613  4.616313 -0.071809
 33.466465  32.445334       4.613  4.617097 -0.088816
 33.666465  32.445334       4.613  4.617675 -0.101346
 33.866465  32.445334       4.613  4.619502 -0.140947
 34.066465  32.445334       4.613  4.621405 -0.182192
 34.266465  32.445334       4.613  4.622678 -0.209798
 34.466465  32.445334       4.613  4.623951 -0.237404
 34.666465  32.445334       4.613  4.625092 -0.262135
 34.866465  32.445334       4.613  4.625839 -0.278321
 35.066465  32.445334       4.613  4.625450 -0.269899
 35.266465  32.445334       4.613  4.625011 -0.260368
 35.466465  32.445334       4.613  4.624577 -0.250961
 35.666465  32.445334       4.613  4.624152 -0.241759
 35.866465  32.445334       4.613  4.623974 -0.237897
 36.066465  32.445334       4.613  4.623974 -0.237897
 32.266465  32.645334       4.613  4.617639 -0.100565
 32.466465  32.645334       4.613  4.617251 -0.092144
 32.666465  32.645334       4.613  4.616659 -0.079327
 32.866465  32.645334       4.613  4.617296 -0.093130
 33.066465  32.645334       4.613  4.618079 -0.110096
 33.266465  32.645334       4.613  4.618759 -0.124844
 33.466465  32.645334       4.613  4.619379 -0.138277
 33.666465  32.645334       4.613  4.620304 -0.158324
 33.866465  32.645334       4.613  4.622708 -0.210456
 34.066465  32.645334       4.613  4.624691 -0.253426
 34.266465  32.645334       4.613  4.625964 -0.281032
 34.466465  32.645334       4.613  4.626735 -0.297752
 34.666465  32.645334       4.613  4.627933 -0.323715
 34.866465  32.645334       4.613  4.628483 -0.335628
 35.066465  32.645334       4.613  4.628158 -0.328603
 35.266465  32.645334       4.613  4.627704 -0.318744
 35.466465  32.645334       4.613  4.626777 -0.298656
 35.666465  32.645334       4.613  4.625524 -0.271501
 35.866465  32.645334       4.613  4.624645 -0.252440
 36.066465  32.645334       4.613  4.624842 -0.256712
 29.666465  32.845334       4.613  4.612934  0.001438
 29.866465  32.845334       4.613  4.612943  0.001232
 30.066465  32.845334       4.613  4.613053 -0.001150
 30.266465  32.845334       4.613  4.613142 -0.003081
 30.466465  32.845334       4.613  4.613227 -0.004930
 30.666465  32.845334       4.613  4.613318 -0.006902
 30.866465  32.845334       4.613  4.613857 -0.018568
 31.066465  32.845334       4.613  4.614361 -0.029496
 31.266465  32.845334       4.613  4.614817 -0.039396
 31.466465  32.845334       4.613  4.615287 -0.049584
