       Lon        Lat  FastDir(deg)  Amplitude(%)
 28.321398  45.320443        19.311      0.018725
 29.413027  45.388742        -0.551      0.018725
 30.507095  45.446619        17.224      0.000000
 26.835152  44.474441       -76.780      0.037450
 27.905816  44.555675       -60.721      0.112349
 28.979288  44.626880       -32.569      0.131074
 30.055211  44.688006        -4.385      0.093625
 31.133218  44.739011        22.836      0.056175
 32.212938  44.779858        19.148      0.018725
 33.293997  44.810519        17.247      0.000000
 26.450801  43.703108       -78.675      0.018725
 27.503883  43.786639       -68.214      0.168524
 28.559741  43.860476       -51.842      0.280874
 29.618044  43.924568       -33.291      0.224699
 30.678456  43.978874        -5.296      0.131074
 31.740633  44.023356        22.007      0.131074
 32.804229  44.057984        23.710      0.074900
 33.868892  44.082735        26.466      0.018725
 34.934268  44.097593        53.318      0.000000
 36.000000  44.102547        21.536      0.000000
 37.065733  44.097593        31.328      0.000000
 26.078951  42.927905       -79.890      0.018725
 27.114989  43.013478       -78.027      0.131074
 28.153759  43.089682       -68.563      0.205974
 29.194958  43.156467       -47.881      0.243424
 30.238272  43.213792       -33.564      0.243424
 31.283388  43.261619       -17.819      0.149799
 32.329982  43.299918        21.094      0.149799
 33.377731  43.328664        24.370      0.149799
 34.426308  43.347839        15.832      0.112349
 35.475381  43.357429        14.354      0.056175
 36.524620  43.357429        26.459      0.018725
 37.573693  43.347839        17.483      0.018725
 38.622269  43.328664        14.883      0.018725
 39.670018  43.299918        18.835      0.000000
 25.719041  42.148961       -80.613      0.000000
 26.738554  42.236329       -78.919      0.112349
 27.760748  42.314644       -77.202      0.187249
 28.785340  42.383859       -67.216      0.131074
 29.812045  42.443932       -42.485      0.187249
 30.840569  42.494826       -41.504      0.280874
 31.870617  42.536509       -32.870      0.224699
 32.901888  42.568957         9.368      0.299599
 33.934080  42.592148         4.122      2.246989
 34.966886  42.606068         4.537      3.070885
 36.000000  42.610709        12.070      0.374498
 37.033114  42.606068         9.829      0.205974
 38.065921  42.592148        10.935      0.149799
 39.098112  42.568957        14.318      0.112349
 40.129384  42.536509        48.826      0.093625
 41.159432  42.494826        62.975      0.149799
 42.187956  42.443932        21.744      0.018725
 25.370535  41.366397        35.075      0.000000
 26.374027  41.455322       -79.244      0.093625
 27.380139  41.535503       -78.451      0.187249
 28.388611  41.606894       -74.817      0.131074
 29.399179  41.669454       -30.717      0.037450
 30.411573  41.723145       -39.051      0.168524
 31.425520  41.767937       -36.794      0.486848
 32.440743  41.803802        -8.743      0.786446
 33.456961  41.830719         8.511      2.939810
 34.473891  41.848673         6.515      7.489963
 35.491250  41.857653        10.198      3.482833
 36.508751  41.857653        22.668      0.599197
 37.526110  41.848673        20.768      0.318323
 38.543040  41.830719        29.298      0.280874
 39.559258  41.803802        54.857      0.430673
 40.574481  41.767937        67.982      0.823896
 41.588428  41.723145        68.493      0.505573
 42.600822  41.669454        21.006      0.037450
 43.611390  41.606894       -77.889      0.037450
 44.619862  41.535503       -76.185      0.018725
 25.032923  40.580333        32.766      0.000000
 26.020881  40.670586       -79.509      0.056175
 27.011390  40.752397       -78.452      0.187249
 28.004214  40.825720       -71.684      0.168524
 28.999107  40.890514       -34.002      0.093625
 29.995821  40.946742         2.921      0.112349
 30.994104  40.994375       -24.545      0.449398
 31.993700  41.033384       -15.192      0.936245
 32.994350  41.063747         7.660      1.835041
 33.995792  41.085447        12.156      3.670082
 34.997764  41.098472        14.774      3.557732
 36.000000  41.102815        29.990      1.292019
 37.002237  41.098472        40.712      0.355773
 38.004208  41.085447        48.578      0.299599
 39.005651  41.063747       -17.929      0.599197
 40.006300  41.033384       -24.528      2.396788
 41.005896  40.994375       -33.199      0.299599
 42.004180  40.946742       -16.704      0.112349
 43.000894  40.890514       -55.080      0.112349
 43.995787  40.825720       -61.471      0.149799
 44.988610  40.752397       -60.766      0.056175
 24.705724  39.790884        33.240      0.000000
 25.678615  39.882245       -79.275      0.056175
 26.653987  39.965457       -69.835      0.168524
 27.631619  40.040475       -60.593      0.187249
 28.611286  40.107261       -24.786      0.074900
 29.592760  40.165777        21.307      0.243424
 30.575806  40.215992        12.597      0.468123
 31.560190  40.257880       -12.252      1.029870
 32.545671  40.291418         5.341      1.610342
 33.532009  40.316587        17.779      1.984840
 34.518960  40.333374        18.497      1.292019
 35.506279  40.341770        16.932      0.767721
 36.493721  40.341770         6.374      0.561747
 37.481041  40.333374        21.538      0.561747
 38.467992  40.316587        15.814      0.243424
 39.454329  40.291418       -24.105      2.584037
 40.439811  40.257880       -25.081      2.284439
 41.424194  40.215992       -22.396      0.730271
 42.407241  40.165777       -26.567      0.505573
 43.388714  40.107261       -47.581      0.224699
 44.368381  40.040475       -47.371      0.168524
 45.346013  39.965457       -37.562      0.037450
 24.388474  38.998162       -55.692      0.000000
 25.346755  39.090419       -64.742      0.093625
 26.307438  39.174812       -64.012      0.337048
 27.270322  39.251299       -49.509      0.355773
 28.235200  39.319840       -19.579      0.093625
 29.201859  39.380402        34.607      0.468123
 30.170087  39.432952         6.332      0.243424
 31.139664  39.477464       -32.262      0.786446
 32.110370  39.513914       -23.300      1.310744
 33.081982  39.542284         4.920      1.029870
 34.054276  39.562559         7.088      0.898796
 35.027024  39.574728       -15.931      0.823896
 36.000000  39.578785       -37.924      0.992420
 36.972976  39.574728       -39.538      0.543022
 37.945725  39.562559       -87.759      0.131074
 38.918018  39.542284       -49.235      0.411948
 39.889631  39.513914       -44.752      0.842621
 40.860337  39.477464       -38.944      0.973695
 41.829914  39.432952       -24.709      0.561747
 42.798141  39.380402       -26.807      0.224699
 43.764801  39.319840       -31.407      0.112349
 44.729678  39.251299       -26.433      0.056175
 25.024845  38.295225       -53.281      0.187249
 25.971274  38.380587       -49.173      0.543022
 26.919840  38.458323       -42.943      0.767721
 27.870351  38.528395       -29.141      0.748996
 28.822613  38.590768        17.204      0.805171
 29.776429  38.645413        17.736      0.748996
 30.731596  38.692302       -69.350      0.617922
 31.687913  38.731411       -72.019      1.067320
 32.645173  38.762722       -85.600      0.748996
 33.603169  38.786219       -88.126      0.468123
 34.561690  38.801891       -64.912      0.468123
 35.520528  38.809728       -71.724      0.917520
 36.479472  38.809728       -79.089      1.591617
 37.438310  38.801891       -80.451      1.610342
 38.396832  38.786219       -76.443      1.497993
 39.354827  38.762722       -72.888      1.872491
 40.312087  38.731411       -70.886      1.891216
 41.268404  38.692302       -61.967      1.067320
 42.223572  38.645413       -22.801      0.149799
 43.177387  38.590768       -19.475      0.037450
 44.129650  38.528395       -25.047      0.000000
 24.712452  37.496777       -34.336      0.187249
 25.645047  37.582904       -31.362      0.917520
 26.579711  37.661678       -32.139      1.104770
 27.516267  37.733062       -28.863      1.142219
 28.454536  37.797022       -18.246      1.086045
 29.394337  37.853530       -37.069      1.179669
 30.335484  37.902557       -67.226      2.228264
 31.277789  37.944081       -89.848      2.565312
 32.221064  37.978083        80.441      2.790011
 33.165116  38.004545        80.864      2.452963
 34.109752  38.023456        86.861      1.516718
 35.054779  38.034806        89.859      1.441818
 36.000000  38.038590       -88.140      2.003565
 36.945222  38.034806       -81.158      2.153364
 37.890248  38.023456       -81.383      2.041015
 38.834885  38.004545       -82.437      1.835041
 39.778937  37.978083       -83.034      2.153364
 40.722211  37.944081       -76.546      1.629067
 41.664517  37.902557       -66.554      0.299599
 42.605664  37.853530       -11.820      0.037450
 24.409164  36.695187        -2.474      0.205974
 25.328331  36.781882        -7.406      1.366918
 26.249495  36.861490       -16.526      1.591617
 27.172495  36.933975       -19.600      1.048595
 28.097165  36.999306       -16.307      1.048595
 29.023337  37.057452       -18.902      1.966115
 29.950842  37.108388       -52.206      4.512703
 30.879507  37.152091       -67.936      3.988405
 31.809156  37.188540        80.497      1.778866
 32.739614  37.217719        76.226      1.385643
 33.670702  37.239616        72.164      0.861346
 34.602240  37.254219        74.891      0.580472
 35.534050  37.261522       -83.748      0.692822
 36.465950  37.261522       -72.682      1.142219
 37.397760  37.254219       -77.039      1.048595
 38.329299  37.239616       -88.512      0.992420
 39.260387  37.217719        80.929      0.880071
 40.190844  37.188540        87.404      0.674097
 41.120494  37.152091       -78.430      0.131074
 42.049159  37.108388       -11.099      0.074900
 42.976663  37.057452        -7.931      0.018725
 24.114587  35.890566       -87.665      0.056175
 25.020718  35.977638       -25.475      0.280874
 25.928773  36.057883       -17.855      0.786446
 26.838602  36.131267       -18.756      0.524297
 27.750054  36.197758        -3.833      0.299599
 28.662974  36.257327         4.780      1.179669
 29.577207  36.309950        -4.295      1.310744
 30.492593  36.355602       -55.509      1.385643
 31.408970  36.394265       -74.010      0.243424
 32.326177  36.425921        27.653      0.243424
 33.244049  36.450557        19.156      0.486848
 34.162421  36.468162        12.303      0.617922
 35.081127  36.478728        -3.481      0.449398
 36.000000  36.482251       -24.833      0.449398
 36.918873  36.478728       -24.228      0.243424
 37.837579  36.468162        82.733      0.187249
 38.755951  36.450557        70.667      0.149799
 39.673823  36.425921        54.090      0.018725
 40.591030  36.394265        -8.904      0.037450
 41.507408  36.355602        -9.653      0.037450
 42.422793  36.309950        -9.058      0.018725
 24.721820  35.170287       -62.900      0.093625
 25.617142  35.250980       -48.793      0.262149
 26.514174  35.325066       -50.769      0.224699
 27.412779  35.392515        80.345      0.149799
 28.312814  35.453300        63.729      0.205974
 29.214134  35.507394        31.845      0.243424
 30.116594  35.554776        38.076      0.205974
 31.020046  35.595426        32.295      0.224699
 31.924339  35.629327        18.239      0.262149
 32.829323  35.656464         9.713      0.243424
 33.734845  35.676828       -17.340      0.280874
 34.640753  35.690408       -19.498      0.262149
 35.546892  35.697200       -21.486      0.168524
