       Lon        Lat  FastDir(deg)  Amplitude(%)
 26.835152  44.474441        12.043      0.058915
 27.905816  44.555675         1.239      0.137469
 28.979288  44.626880        -8.281      0.117831
 30.055211  44.688006       -17.313      0.039277
 43.020712  44.626880        87.925      0.147289
 44.094185  44.555675       -67.149      0.078554
 26.450801  43.703108         3.440      0.029458
 27.503883  43.786639         2.094      0.147289
 28.559741  43.860476        -4.164      0.225842
 29.618044  43.924568       -12.736      0.127650
 30.678456  43.978874       -17.599      0.029458
 41.321544  43.978874        73.868      0.176746
 42.381956  43.924568        80.433      0.540058
 43.440260  43.860476        87.874      0.559697
 44.496118  43.786639       -70.767      0.324035
 26.078951  42.927905       -31.334      0.098192
 27.114989  43.013478       -31.660      0.137469
 28.153759  43.089682       -15.964      0.147289
 29.194958  43.156467       -20.238      0.157108
 30.238272  43.213792       -28.459      0.088373
 31.283388  43.261619       -20.118      0.019638
 38.622269  43.328664       -27.257      0.029458
 39.670018  43.299918       -37.972      0.058915
 40.716613  43.261619       -42.550      0.029458
 41.761728  43.213792        81.024      0.441866
 42.805043  43.156467        85.984      1.050658
 43.846241  43.089682       -79.301      1.178308
 44.885011  43.013478       -61.238      0.942647
 45.921049  42.927905       -61.886      0.559697
 46.954056  42.833017       -65.924      0.176746
 25.719041  42.148961       -21.099      0.216023
 26.738554  42.236329       -28.686      0.382950
 27.760748  42.314644       -35.640      0.314216
 28.785340  42.383859       -49.910      0.235662
 29.812045  42.443932       -49.614      0.294577
 30.840569  42.494826       -45.190      0.216023
 31.870617  42.536509       -25.133      0.117831
 32.901888  42.568957        -8.905      0.137469
 33.934080  42.592148       -20.534      0.314216
 34.966886  42.606068        -6.231      0.520420
 36.000000  42.610709        13.508      0.667708
 37.033114  42.606068        23.448      0.618612
 38.065921  42.592148        28.033      0.333854
 39.098112  42.568957       -27.078      0.039277
 40.129384  42.536509       -88.542      0.147289
 41.159432  42.494826       -89.917      0.441866
 42.187956  42.443932       -85.746      1.413970
 43.214660  42.383859       -79.895      1.738005
 44.239253  42.314644       -67.586      1.433609
 45.261446  42.236329       -50.806      1.571078
 46.280959  42.148961       -53.211      1.001562
 25.370535  41.366397       -11.041      0.127650
 26.374027  41.455322       -15.949      0.412408
 27.380139  41.535503       -22.429      0.500781
 28.388611  41.606894       -40.582      0.392769
 29.399179  41.669454       -50.277      0.598973
