       Lon        Lat  FastDir(deg)  Amplitude(%)
 24.342295  45.713739       -89.569      0.015270
 25.438874  45.821367        89.304      0.061080
 26.539493  45.918467        87.217      0.045810
 27.643759  46.004965        82.398      0.000000
 23.986916  44.944132       -89.466      0.030540
 25.064990  45.053549        89.575      0.106891
 26.147003  45.152786        88.691      0.152701
 27.232597  45.241772        87.821      0.061080
 28.321398  45.320443       -27.448      0.030540
 29.413027  45.388742       -33.041      0.045810
 30.507095  45.446619       -33.958      0.000000
 24.703642  44.282116       -89.661      0.091621
 25.767646  44.383234        89.304      0.183241
 26.835152  44.474441        89.530      0.106891
 27.905816  44.555675       -32.634      0.122161
 28.979288  44.626880       -34.289      0.259592
 30.055211  44.688006       -32.963      0.122161
 31.133218  44.739011        27.026      0.015270
 32.212938  44.779858        74.402      0.015270
 33.293997  44.810519        82.977      0.015270
 24.354249  43.507186       -88.887      0.061080
 25.400818  43.609936       -89.643      0.152701
 26.450801  43.703108        88.091      0.137431
 27.503883  43.786639       -33.608      0.076351
 28.559741  43.860476       -33.567      0.366483
 29.618044  43.924568       -35.520      0.427563
 30.678456  43.978874       -30.234      0.198512
 31.740633  44.023356        29.357      0.061080
 32.804229  44.057984        43.400      0.030540
 33.868892  44.082735        49.557      0.015270
 34.934268  44.097593        40.168      0.030540
 36.000000  44.102547        14.666      0.030540
 37.065733  44.097593        59.819      0.015270
 24.016259  42.728872       -88.312      0.030540
 25.045944  42.833017       -88.961      0.122161
 26.078951  42.927905        88.444      0.152701
 27.114989  43.013478        61.311      0.030540
 28.153759  43.089682       -23.176      0.137431
 29.194958  43.156467       -36.940      0.412293
 30.238272  43.213792       -37.051      0.503914
 31.283388  43.261619       -30.377      0.229052
 32.329982  43.299918        45.001      0.213782
 33.377731  43.328664         7.189      0.259592
 34.426308  43.347839       -17.939      0.473374
 35.475381  43.357429       -42.196      0.183241
 36.524620  43.357429        89.542      0.305402
 37.573693  43.347839       -86.346      0.290132
 38.622269  43.328664       -83.362      0.274862
 39.670018  43.299918       -82.649      0.366483
 24.702482  42.052593       -88.267      0.091621
 25.719041  42.148961       -89.824      0.152701
 26.738554  42.236329        74.349      0.076351
 27.760748  42.314644        15.897      0.076351
 28.785340  42.383859       -24.973      0.091621
 29.812045  42.443932       -43.081      0.305402
 30.840569  42.494826       -47.991      0.305402
 31.870617  42.536509        68.804      0.427563
 32.901888  42.568957        62.378      0.763506
 33.934080  42.592148       -19.156      2.565380
 34.966886  42.606068       -30.522      2.733351
 36.000000  42.610709       -82.881      1.908765
 37.033114  42.606068       -86.551      1.893495
 38.065921  42.592148       -84.138      1.756064
 39.098112  42.568957       -83.060      1.618633
 40.129384  42.536509       -82.699      1.756064
 41.159432  42.494826       -82.433      1.572822
 42.187956  42.443932       -86.466      0.488644
 24.369915  41.268780       -87.569      0.061080
 25.370535  41.366397       -88.103      0.137431
 26.374027  41.455322        82.639      0.091621
 27.380139  41.535503        45.766      0.106891
 28.388611  41.606894        53.676      0.183241
 29.399179  41.669454        64.820      0.351213
 30.411573  41.723145        68.703      0.717696
 31.425520  41.767937        68.825      1.618633
 32.440743  41.803802        77.969      2.137817
 33.456961  41.830719       -58.613      2.366868
 34.473891  41.848673       -37.515      6.108047
 35.491250  41.857653       -71.185      4.703196
 36.508751  41.857653       -86.291      2.534840
 37.526110  41.848673       -86.601      2.092006
 38.543040  41.830719       -83.015      2.061466
 39.559258  41.803802       -82.780      2.397409
 40.574481  41.767937       -83.344      2.931863
 41.588428  41.723145       -85.317      1.908765
 42.600822  41.669454        50.746      0.549724
 43.611390  41.606894        20.925      0.366483
 44.619862  41.535503         0.196      0.183241
 24.047752  40.481686       -88.260      0.045810
 25.032923  40.580333       -87.956      0.122161
 26.020881  40.670586        87.447      0.106891
 27.011390  40.752397        58.859      0.183241
 28.004214  40.825720        63.228      0.794046
 28.999107  40.890514        66.154      1.252150
 29.995821  40.946742        69.944      1.343770
 30.994104  40.994375        67.269      2.336328
 31.993700  41.033384        80.669      2.855512
