       lon        lat  Cref(km/s)   C(km/s)  Cpert(%)
 34.339739  30.451064       4.081  4.081322 -0.007878
 34.539739  30.451064       4.081  4.081305 -0.007468
 33.939739  30.651064       4.081  4.081350 -0.008576
 34.139739  30.651064       4.081  4.081335 -0.008207
 34.339739  30.651064       4.081  4.081322 -0.007878
 34.539739  30.651064       4.081  4.081308 -0.007550
 34.739739  30.651064       4.081  4.081293 -0.007181
 34.939739  30.651064       4.081  4.081281 -0.006894
 33.539739  30.851064       4.081  4.081358 -0.008781
 33.739739  30.851064       4.081  4.081365 -0.008945
 33.939739  30.851064       4.081  4.081350 -0.008576
 34.139739  30.851064       4.081  4.081335 -0.008207
 34.339739  30.851064       4.081  4.081315 -0.007714
 34.539739  30.851064       4.081  4.081306 -0.007509
 34.739739  30.851064       4.081  4.081293 -0.007181
 34.939739  30.851064       4.081  4.081281 -0.006894
 35.139739  30.851064       4.081  4.081281 -0.006894
 33.339739  31.051064       4.081  4.081286 -0.007017
 33.539739  31.051064       4.081  4.081303 -0.007427
 33.739739  31.051064       4.081  4.081280 -0.006853
 33.939739  31.051064       4.081  4.081236 -0.005786
 34.139739  31.051064       4.081  4.081208 -0.005088
 34.339739  31.051064       4.081  4.081189 -0.004637
 34.539739  31.051064       4.081  4.081169 -0.004144
 34.739739  31.051064       4.081  4.081062 -0.001518
 34.939739  31.051064       4.081  4.080953  0.001149
 35.139739  31.051064       4.081  4.080848  0.003734
 35.339739  31.051064       4.081  4.080749  0.006155
 32.939739  31.251064       4.081  4.081226 -0.005540
 33.139739  31.251064       4.081  4.081233 -0.005704
 33.339739  31.251064       4.081  4.081243 -0.005950
 33.539739  31.251064       4.081  4.081204 -0.005006
 33.739739  31.251064       4.081  4.081142 -0.003488
 33.939739  31.251064       4.081  4.081105 -0.002585
 34.139739  31.251064       4.081  4.081079 -0.001929
 34.339739  31.251064       4.081  4.081025 -0.000616
 34.539739  31.251064       4.081  4.080884  0.002831
 34.739739  31.251064       4.081  4.080745  0.006237
 34.939739  31.251064       4.081  4.080628  0.009109
 35.139739  31.251064       4.081  4.080514  0.011900
 35.339739  31.251064       4.081  4.080409  0.014485
 35.539739  31.251064       4.081  4.080310  0.016906
 35.739739  31.251064       4.081  4.080293  0.017316
 35.939739  31.251064       4.081  4.080473  0.012926
 32.539739  31.451064       4.081  4.081268 -0.006565
 32.739739  31.451064       4.081  4.081244 -0.005991
 32.939739  31.451064       4.081  4.081224 -0.005498
 33.139739  31.451064       4.081  4.081206 -0.005047
 33.339739  31.451064       4.081  4.081208 -0.005088
 33.539739  31.451064       4.081  4.081116 -0.002831
 33.739739  31.451064       4.081  4.081049 -0.001190
 33.939739  31.451064       4.081  4.080983  0.000410
 34.139739  31.451064       4.081  4.080943  0.001395
 34.339739  31.451064       4.081  4.080791  0.005129
 34.539739  31.451064       4.081  4.080625  0.009192
 34.739739  31.451064       4.081  4.080488  0.012556
 34.939739  31.451064       4.081  4.080379  0.015223
 35.139739  31.451064       4.081  4.080263  0.018055
 35.339739  31.451064       4.081  4.080179  0.020106
 35.539739  31.451064       4.081  4.080149  0.020845
 35.739739  31.451064       4.081  4.080277  0.017726
 35.939739  31.451064       4.081  4.080407  0.014526
 36.139739  31.451064       4.081  4.080556  0.010874
 36.339739  31.451064       4.081  4.080556  0.010874
 32.339739  31.651064       4.081  4.081196 -0.004801
 32.539739  31.651064       4.081  4.081265 -0.006483
 32.739739  31.651064       4.081  4.081241 -0.005909
