       Lon        Lat  FastDir(deg)  Amplitude(%)
 24.342295  45.713739       -12.692      0.012805
 25.438874  45.821367       -20.161      0.089634
 26.539493  45.918467       -22.344      0.115244
 27.643759  46.004965       -28.932      0.038415
 23.986916  44.944132        -9.515      0.012805
 25.064990  45.053549       -19.202      0.128049
 26.147003  45.152786       -21.215      0.268903
 27.232597  45.241772       -22.345      0.192073
 28.321398  45.320443       -39.481      0.089634
 29.413027  45.388742       -61.450      0.064024
 30.507095  45.446619       -73.233      0.038415
 24.703642  44.282116       -11.904      0.064024
 25.767646  44.383234       -19.493      0.243293
 26.835152  44.474441       -19.989      0.371342
 27.905816  44.555675       -24.208      0.409756
 28.979288  44.626880       -36.833      0.396951
 30.055211  44.688006       -53.000      0.217683
 31.133218  44.739011       -69.911      0.128049
 32.212938  44.779858       -73.291      0.076829
 33.293997  44.810519       -79.815      0.038415
 34.376014  44.830972        84.656      0.038415
 24.354249  43.507186         3.054      0.025610
 25.400818  43.609936       -10.683      0.102439
 26.450801  43.703108       -17.808      0.320122
 27.503883  43.786639       -19.481      0.601830
 28.559741  43.860476       -26.505      0.793903
 29.618044  43.924568       -35.438      0.614634
 30.678456  43.978874       -55.197      0.281707
 31.740633  44.023356       -69.681      0.217683
 32.804229  44.057984       -67.519      0.140854
 33.868892  44.082735       -74.742      0.064024
 34.934268  44.097593       -85.446      0.051220
 36.000000  44.102547       -79.563      0.038415
 37.065733  44.097593       -85.543      0.025610
 38.131109  44.082735       -60.045      0.000000
 24.016259  42.728872         6.649      0.012805
 25.045944  42.833017         5.705      0.051220
 26.078951  42.927905        -8.853      0.140854
 27.114989  43.013478       -13.307      0.409756
 28.153759  43.089682       -19.349      0.729878
 29.194958  43.156467       -26.724      0.845122
 30.238272  43.213792       -33.285      0.601830
 31.283388  43.261619       -53.622      0.204878
 32.329982  43.299918       -76.042      0.230488
 33.377731  43.328664       -43.882      0.217683
 34.426308  43.347839       -27.203      0.384147
 35.475381  43.357429       -49.056      0.192073
 36.524620  43.357429       -83.721      0.281707
 37.573693  43.347839       -80.146      0.179268
 38.622269  43.328664       -76.091      0.140854
 39.670018  43.299918       -78.478      0.102439
 40.716613  43.261619       -79.373      0.064024
 41.761728  43.213792        87.783      0.076829
 24.702482  42.052593         5.745      0.051220
 25.719041  42.148961         8.263      0.089634
 26.738554  42.236329        -4.064      0.230488
 27.760748  42.314644       -11.905      0.473781
 28.785340  42.383859       -21.420      0.729878
 29.812045  42.443932       -27.026      0.806708
 30.840569  42.494826       -26.626      0.422561
 31.870617  42.536509        65.197      0.294512
 32.901888  42.568957        78.835      0.512195
 33.934080  42.592148       -22.536      1.677440
 34.966886  42.606068       -25.866      2.176830
 36.000000  42.610709       -79.097      1.165244
 37.033114  42.606068       -82.813      1.203659
 38.065921  42.592148       -78.632      0.985976
 39.098112  42.568957       -78.067      0.755488
 40.129384  42.536509       -80.204      0.576220
 41.159432  42.494826       -83.245      0.512195
 42.187956  42.443932        85.233      0.486586
 43.214660  42.383859        80.207      0.371342
 44.239253  42.314644        64.511      0.076829
 24.369915  41.268780         0.347      0.038415
 25.370535  41.366397         7.168      0.089634
 26.374027  41.455322        10.848      0.153659
 27.380139  41.535503        -3.224      0.294512
 28.388611  41.606894       -14.034      0.422561
 29.399179  41.669454       -25.731      0.563415
 30.411573  41.723145       -34.290      0.332927
 31.425520  41.767937        65.820      1.114025
 32.440743  41.803802        70.776      2.407318
 33.456961  41.830719       -79.748      1.779879
 34.473891  41.848673       -35.314      3.918294
 35.491250  41.857653       -57.800      1.856708
 36.508751  41.857653        89.849      1.690245
 37.526110  41.848673       -80.899      1.626220
 38.543040  41.830719       -76.749      1.587806
 39.559258  41.803802       -74.463      1.600610
 40.574481  41.767937       -78.158      1.715854
 41.588428  41.723145       -87.495      1.549391
 42.600822  41.669454        79.873      1.126830
 43.611390  41.606894        62.787      0.473781
 44.619862  41.535503        25.281      0.268903
 24.047752  40.481686        -3.216      0.038415
 25.032923  40.580333         0.410      0.089634
 26.020881  40.670586        15.035      0.140854
 27.011390  40.752397        33.688      0.153659
 28.004214  40.825720        67.111      0.153659
 28.999107  40.890514        87.016      0.294512
 29.995821  40.946742       -80.873      0.473781
 30.994104  40.994375        76.717      1.959147
 31.993700  41.033384        77.382      3.841465
 32.994350  41.063747        85.827      4.174392
 33.995792  41.085447       -71.708      3.406099
 34.997764  41.098472       -58.725      1.971952
 36.000000  41.102815        69.385      0.755488
 37.002237  41.098472        57.839      0.601830
 38.004208  41.085447        70.994      0.409756
 39.005651  41.063747       -56.914      0.742683
 40.006300  41.033384       -47.433      2.023172
 41.005896  40.994375       -67.908      1.779879
 42.004180  40.946742       -77.886      1.190854
 43.000894  40.890514        60.086      0.435366
 43.995787  40.825720        20.389      0.921952
 44.988610  40.752397        16.420      0.627439
 24.705724  39.790884         0.474      0.102439
 25.678615  39.882245        15.122      0.179268
 26.653987  39.965457        62.090      0.332927
 27.631619  40.040475        77.901      1.152440
 28.611286  40.107261        86.597      1.677440
 29.592760  40.165777       -83.529      1.562196
 30.575806  40.215992       -76.037      1.728659
 31.560190  40.257880       -75.026      2.343294
 32.545671  40.291418       -82.465      2.906709
 33.532009  40.316587       -81.790      2.906709
 34.518960  40.333374       -61.752      1.639025
