       lon        lat  Cref(km/s)   C(km/s)  Cpert(%)
 34.083018  30.451064       3.848  3.847747  0.006571
 34.283018  30.451064       3.848  3.847754  0.006401
 34.483018  30.451064       3.848  3.847760  0.006230
 34.683018  30.451064       3.848  3.847768  0.006026
 33.883018  30.651064       3.848  3.847742  0.006707
 34.083018  30.651064       3.848  3.847748  0.006537
 34.283018  30.651064       3.848  3.847754  0.006401
 34.483018  30.651064       3.848  3.847760  0.006230
 34.683018  30.651064       3.848  3.847765  0.006094
 34.883018  30.651064       3.848  3.847772  0.005924
 35.083018  30.651064       3.848  3.847772  0.005924
 33.683018  30.851064       3.848  3.847737  0.006843
 33.883018  30.851064       3.848  3.847742  0.006707
 34.083018  30.851064       3.848  3.847748  0.006537
 34.283018  30.851064       3.848  3.847756  0.006332
 34.483018  30.851064       3.848  3.847760  0.006230
 34.683018  30.851064       3.848  3.847765  0.006094
 34.883018  30.851064       3.848  3.847772  0.005924
 35.083018  30.851064       3.848  3.847772  0.005924
 33.283018  31.051064       3.848  3.847638  0.009396
 33.483018  31.051064       3.848  3.847658  0.008886
 33.683018  31.051064       3.848  3.847686  0.008171
 33.883018  31.051064       3.848  3.847738  0.006809
 34.083018  31.051064       3.848  3.847779  0.005754
 34.283018  31.051064       3.848  3.847796  0.005311
 34.483018  31.051064       3.848  3.847798  0.005243
 34.683018  31.051064       3.848  3.847860  0.003643
 34.883018  31.051064       3.848  3.847937  0.001634
 35.083018  31.051064       3.848  3.847999  0.000034
 35.283018  31.051064       3.848  3.848056 -0.001464
 32.883018  31.251064       3.848  3.847561  0.011405
 33.083018  31.251064       3.848  3.847565  0.011303
 33.283018  31.251064       3.848  3.847585  0.010792
 33.483018  31.251064       3.848  3.847616  0.009975
 33.683018  31.251064       3.848  3.847683  0.008239
 33.883018  31.251064       3.848  3.847737  0.006843
 34.083018  31.251064       3.848  3.847783  0.005652
 34.283018  31.251064       3.848  3.847827  0.004494
 34.483018  31.251064       3.848  3.847920  0.002077
 34.683018  31.251064       3.848  3.848004 -0.000102
 34.883018  31.251064       3.848  3.848092 -0.002383
 35.083018  31.251064       3.848  3.848170 -0.004426
 35.283018  31.251064       3.848  3.848278 -0.007218
 35.483018  31.251064       3.848  3.848384 -0.009975
 35.683018  31.251064       3.848  3.848503 -0.013073
 35.883018  31.251064       3.848  3.848465 -0.012086
 32.683018  31.451064       3.848  3.847577  0.010997
 32.883018  31.451064       3.848  3.847559  0.011473
 33.083018  31.451064       3.848  3.847540  0.011950
 33.283018  31.451064       3.848  3.847545  0.011814
 33.483018  31.451064       3.848  3.847604  0.010282
 33.683018  31.451064       3.848  3.847674  0.008477
 33.883018  31.451064       3.848  3.847735  0.006877
 34.083018  31.451064       3.848  3.847794  0.005345
 34.283018  31.451064       3.848  3.847897  0.002690
 34.483018  31.451064       3.848  3.848034 -0.000885
 34.683018  31.451064       3.848  3.848134 -0.003473
 34.883018  31.451064       3.848  3.848211 -0.005481
 35.083018  31.451064       3.848  3.848310 -0.008069
 35.283018  31.451064       3.848  3.848439 -0.011405
 35.483018  31.451064       3.848  3.848514 -0.013346
 35.683018  31.451064       3.848  3.848506 -0.013141
 35.883018  31.451064       3.848  3.848476 -0.012358
 36.083018  31.451064       3.848  3.848440 -0.011439
 36.283018  31.451064       3.848  3.848432 -0.011235
 32.283018  31.651064       3.848  3.847591  0.010622
 32.483018  31.651064       3.848  3.847595  0.010520
 32.683018  31.651064       3.848  3.847577  0.010997
 32.883018  31.651064       3.848  3.847560  0.011439
 33.083018  31.651064       3.848  3.847541  0.011916
 33.283018  31.651064       3.848  3.847521  0.012461
 33.483018  31.651064       3.848  3.847578  0.010963
 33.683018  31.651064       3.848  3.847659  0.008852
 33.883018  31.651064       3.848  3.847752  0.006435
 34.083018  31.651064       3.848  3.847813  0.004868
 34.283018  31.651064       3.848  3.847967  0.000851
 34.483018  31.651064       3.848  3.848134 -0.003473
 34.683018  31.651064       3.848  3.848219 -0.005686
 34.883018  31.651064       3.848  3.848317 -0.008239
 35.083018  31.651064       3.848  3.848439 -0.011405
 35.283018  31.651064       3.848  3.848548 -0.014231
 35.483018  31.651064       3.848  3.848535 -0.013890
 35.683018  31.651064       3.848  3.848504 -0.013107
 35.883018  31.651064       3.848  3.848476 -0.012358
 36.083018  31.651064       3.848  3.848447 -0.011609
 36.283018  31.651064       3.848  3.848432 -0.011235
 36.483018  31.651064       3.848  3.848432 -0.011235
 31.883018  31.851064       3.848  3.847587  0.010724
 32.083018  31.851064       3.848  3.847551  0.011678
 32.283018  31.851064       3.848  3.847561  0.011405
 32.483018  31.851064       3.848  3.847577  0.010997
 32.683018  31.851064       3.848  3.847576  0.011031
 32.883018  31.851064       3.848  3.847570  0.011167
 33.083018  31.851064       3.848  3.847556  0.011541
 33.283018  31.851064       3.848  3.847621  0.009839
 33.483018  31.851064       3.848  3.847790  0.005447
 33.683018  31.851064       3.848  3.847953  0.001226
 33.883018  31.851064       3.848  3.848035 -0.000919
 34.083018  31.851064       3.848  3.848111 -0.002894
 34.283018  31.851064       3.848  3.848435 -0.011303
 34.483018  31.851064       3.848  3.848707 -0.018384
 34.683018  31.851064       3.848  3.848838 -0.021789
 34.883018  31.851064       3.848  3.848892 -0.023185
 35.083018  31.851064       3.848  3.848956 -0.024853
 35.283018  31.851064       3.848  3.848947 -0.024615
 35.483018  31.851064       3.848  3.848893 -0.023219
 35.683018  31.851064       3.848  3.848865 -0.022470
 35.883018  31.851064       3.848  3.848765 -0.019882
 36.083018  31.851064       3.848  3.848614 -0.015967
 36.283018  31.851064       3.848  3.848462 -0.012018
 36.483018  31.851064       3.848  3.848472 -0.012256
 31.483018  32.051064       3.848  3.847726  0.007115
 31.683018  32.051064       3.848  3.847663  0.008750
 31.883018  32.051064       3.848  3.847602  0.010350
 32.083018  32.051064       3.848  3.847555  0.011575
 32.283018  32.051064       3.848  3.847547  0.011780
 32.483018  32.051064       3.848  3.847565  0.011303
 32.683018  32.051064       3.848  3.847572  0.011133
 32.883018  32.051064       3.848  3.847574  0.011065
 33.083018  32.051064       3.848  3.847678  0.008375
 33.283018  32.051064       3.848  3.847857  0.003711
 33.483018  32.051064       3.848  3.848048 -0.001260
 33.683018  32.051064       3.848  3.848199 -0.005175
 33.883018  32.051064       3.848  3.848394 -0.010248
 34.083018  32.051064       3.848  3.848773 -0.020087
 34.283018  32.051064       3.848  3.849116 -0.029007
 34.483018  32.051064       3.848  3.849332 -0.034624
 34.683018  32.051064       3.848  3.849423 -0.036973
 34.883018  32.051064       3.848  3.849585 -0.041195
 35.083018  32.051064       3.848  3.849704 -0.044293
 35.283018  32.051064       3.848  3.849636 -0.042523
 35.483018  32.051064       3.848  3.849403 -0.036462
 35.683018  32.051064       3.848  3.849214 -0.031560
 35.883018  32.051064       3.848  3.849090 -0.028326
 36.083018  32.051064       3.848  3.848951 -0.024717
 36.283018  32.051064       3.848  3.848728 -0.018929
 36.483018  32.051064       3.848  3.848502 -0.013039
 36.683018  32.051064       3.848  3.848515 -0.013380
 31.283018  32.251064       3.848  3.847775  0.005856
 31.483018  32.251064       3.848  3.847717  0.007354
 31.683018  32.251064       3.848  3.847659  0.008852
 31.883018  32.251064       3.848  3.847603  0.010316
 32.083018  32.251064       3.848  3.847557  0.011507
 32.283018  32.251064       3.848  3.847532  0.012154
 32.483018  32.251064       3.848  3.847555  0.011575
 32.683018  32.251064       3.848  3.847573  0.011099
 32.883018  32.251064       3.848  3.847589  0.010690
 33.083018  32.251064       3.848  3.847832  0.004358
 33.283018  32.251064       3.848  3.848062 -0.001600
 33.483018  32.251064       3.848  3.848286 -0.007422
 33.683018  32.251064       3.848  3.848466 -0.012120
 33.883018  32.251064       3.848  3.848913 -0.023730
 34.083018  32.251064       3.848  3.849381 -0.035884
 34.283018  32.251064       3.848  3.849767 -0.045927
 34.483018  32.251064       3.848  3.849947 -0.050591
 34.683018  32.251064       3.848  3.850129 -0.055324
 34.883018  32.251064       3.848  3.850310 -0.060022
 35.083018  32.251064       3.848  3.850428 -0.063086
 35.283018  32.251064       3.848  3.850262 -0.058796
 35.483018  32.251064       3.848  3.850000 -0.051987
 35.683018  32.251064       3.848  3.849586 -0.041229
 35.883018  32.251064       3.848  3.849411 -0.036667
 36.083018  32.251064       3.848  3.849186 -0.030811
 36.283018  32.251064       3.848  3.848943 -0.024513
 36.483018  32.251064       3.848  3.848652 -0.016955
 36.683018  32.251064       3.848  3.848544 -0.014129
 30.883018  32.451064       3.848  3.847910  0.002349
 31.083018  32.451064       3.848  3.847869  0.003405
 31.283018  32.451064       3.848  3.847781  0.005686
 31.483018  32.451064       3.848  3.847758  0.006298
 31.683018  32.451064       3.848  3.847712  0.007490
 31.883018  32.451064       3.848  3.847638  0.009396
 32.083018  32.451064       3.848  3.847548  0.011746
 32.283018  32.451064       3.848  3.847559  0.011473
 32.483018  32.451064       3.848  3.847621  0.009839
 32.683018  32.451064       3.848  3.847625  0.009737
 32.883018  32.451064       3.848  3.847661  0.008818
 33.083018  32.451064       3.848  3.847946  0.001396
 33.283018  32.451064       3.848  3.848275 -0.007150
 33.483018  32.451064       3.848  3.848531 -0.013788
 33.683018  32.451064       3.848  3.848768 -0.019951
 33.883018  32.451064       3.848  3.849417 -0.036837
 34.083018  32.451064       3.848  3.849905 -0.049502
 34.283018  32.451064       3.848  3.850210 -0.057434
 34.483018  32.451064       3.848  3.850548 -0.066218
 34.683018  32.451064       3.848  3.850923 -0.075955
 34.883018  32.451064       3.848  3.851072 -0.079836
 35.083018  32.451064       3.848  3.850878 -0.074797
 35.283018  32.451064       3.848  3.850764 -0.071836
 35.483018  32.451064       3.848  3.850582 -0.067103
 35.683018  32.451064       3.848  3.850116 -0.054983
 35.883018  32.451064       3.848  3.849686 -0.043816
 36.083018  32.451064       3.848  3.849364 -0.035441
 36.283018  32.451064       3.848  3.849066 -0.027713
 36.483018  32.451064       3.848  3.848774 -0.020121
 36.683018  32.451064       3.848  3.848561 -0.014571
 36.883018  32.451064       3.848  3.848561 -0.014571
 30.483018  32.651064       3.848  3.848212 -0.005515
 30.683018  32.651064       3.848  3.848107 -0.002792
 30.883018  32.651064       3.848  3.848041 -0.001055
 31.083018  32.651064       3.848  3.848046 -0.001192
 31.283018  32.651064       3.848  3.847988  0.000306
 31.483018  32.651064       3.848  3.847915  0.002213
 31.683018  32.651064       3.848  3.847853  0.003813
 31.883018  32.651064       3.848  3.847861  0.003609
 32.083018  32.651064       3.848  3.847931  0.001804
 32.283018  32.651064       3.848  3.847966  0.000885
 32.483018  32.651064       3.848  3.847983  0.000443
 32.683018  32.651064       3.848  3.847982  0.000477
 32.883018  32.651064       3.848  3.848293 -0.007626
 33.083018  32.651064       3.848  3.848701 -0.018214
 33.283018  32.651064       3.848  3.849007 -0.026181
 33.483018  32.651064       3.848  3.849241 -0.032241
 33.683018  32.651064       3.848  3.849617 -0.042012
 33.883018  32.651064       3.848  3.850357 -0.061247
 34.083018  32.651064       3.848  3.850928 -0.076091
 34.283018  32.651064       3.848  3.851270 -0.084977
 34.483018  32.651064       3.848  3.851502 -0.091003
 34.683018  32.651064       3.848  3.851849 -0.100025
 34.883018  32.651064       3.848  3.851972 -0.103225
 35.083018  32.651064       3.848  3.851875 -0.100706
 35.283018  32.651064       3.848  3.851726 -0.096825
 35.483018  32.651064       3.848  3.851282 -0.085283
 35.683018  32.651064       3.848  3.850530 -0.065741
 35.883018  32.651064       3.848  3.849991 -0.051749
 36.083018  32.651064       3.848  3.849698 -0.044123
 36.283018  32.651064       3.848  3.849331 -0.034590
 36.483018  32.651064       3.848  3.848886 -0.023015
 36.683018  32.651064       3.848  3.848508 -0.013210
 36.883018  32.651064       3.848  3.848491 -0.012767
 37.083018  32.651064       3.848  3.848474 -0.012324
 29.683018  32.851064       3.848  3.848330 -0.008579
 29.883018  32.851064       3.848  3.848333 -0.008647
 30.083018  32.851064       3.848  3.848343 -0.008920
 30.283018  32.851064       3.848  3.848352 -0.009158
 30.483018  32.851064       3.848  3.848312 -0.008103
