       Lon        Lat  FastDir(deg)  Amplitude(%)
 26.835152  44.474441        65.536      0.045257
 27.905816  44.555675        60.475      0.135772
 28.979288  44.626880        56.748      0.203658
 30.055211  44.688006        53.204      0.203658
 43.020712  44.626880       -33.564      0.905145
 44.094185  44.555675       -31.162      0.803317
 26.450801  43.703108       -19.702      0.067886
 27.503883  43.786639        49.232      0.045257
 28.559741  43.860476        54.009      0.192343
 29.618044  43.924568        51.994      0.237601
 30.678456  43.978874        48.960      0.226286
 41.321544  43.978874       -48.201      0.893831
 42.381956  43.924568       -40.665      1.108803
 43.440260  43.860476       -34.362      1.074860
 44.496118  43.786639       -28.474      0.803317
 26.078951  42.927905       -23.742      0.237601
 27.114989  43.013478       -18.028      0.203658
 28.153759  43.089682        16.952      0.101829
 29.194958  43.156467        42.994      0.226286
 30.238272  43.213792        44.643      0.282858
 31.283388  43.261619        45.703      0.282858
 39.670018  43.299918       -68.895      0.203658
 40.716613  43.261619       -51.793      0.667545
 41.761728  43.213792       -49.104      1.176689
 42.805043  43.156467       -44.968      1.380347
 43.846241  43.089682       -30.305      0.871203
 44.885011  43.013478       -17.928      0.554402
 45.921049  42.927905       -43.789      0.339430
 46.954056  42.833017       -61.946      0.486516
 25.719041  42.148961       -26.769      0.316801
 26.738554  42.236329       -23.797      0.418630
 27.760748  42.314644       -17.645      0.328115
 28.785340  42.383859        10.293      0.169715
 29.812045  42.443932        38.371      0.282858
 30.840569  42.494826        43.735      0.362058
 31.870617  42.536509        51.165      0.396001
 32.901888  42.568957        61.339      0.531773
 33.934080  42.592148        66.341      0.486516
 34.966886  42.606068       -19.186      0.135772
 36.000000  42.610709       -15.760      0.701488
 37.033114  42.606068        -8.678      0.701488
 38.065921  42.592148         8.589      0.497830
 39.098112  42.568957        37.298      0.181029
 40.129384  42.536509       -44.344      0.260229
 41.159432  42.494826       -48.296      1.154060
 42.187956  42.443932       -54.957      1.889491
 43.214660  42.383859       -54.796      0.859888
 44.239253  42.314644         4.960      0.475201
 45.261446  42.236329       -43.294      0.407315
 46.280959  42.148961       -62.590      0.825945
 47.297518  42.052593       -66.130      0.814631
 25.370535  41.366397       -24.423      0.192343
 26.374027  41.455322       -25.566      0.362058
 27.380139  41.535503       -22.864      0.475201
 28.388611  41.606894       -19.750      0.305487
 29.399179  41.669454        23.454      0.067886
 30.411573  41.723145        57.433      0.350744
 31.425520  41.767937        61.661      0.644916
 32.440743  41.803802        69.524      0.871203
 33.456961  41.830719        73.385      1.086175
 34.473891  41.848673        80.491      0.577030
 35.491250  41.857653       -31.066      0.667545
 36.508751  41.857653       -26.420      0.905145
 37.526110  41.848673        -2.656      0.497830
 38.543040  41.830719        26.138      0.554402
 39.559258  41.803802        19.530      0.497830
 40.574481  41.767937       -13.549      0.735431
 41.588428  41.723145       -44.148      1.719776
 42.600822  41.669454       -56.693      1.595319
 43.611390  41.606894        21.762      0.950403
 44.619862  41.535503        -3.581      0.667545
 45.625974  41.455322       -55.923      1.131432
 46.629466  41.366397       -62.607      1.244575
 47.630085  41.268780       -65.965      0.961717
 26.020881  40.670586        -5.311      0.124458
 27.011390  40.752397       -11.935      0.316801
 28.004214  40.825720       -16.581      0.362058
 28.999107  40.890514       -46.743      0.169715
 29.995821  40.946742        88.265      0.418630
 30.994104  40.994375        75.091      1.018289
 31.993700  41.033384        78.175      1.425604
 32.994350  41.063747        83.841      1.731091
 33.995792  41.085447        87.496      1.651890
 34.997764  41.098472       -75.443      1.120118
 36.000000  41.102815       -58.359      1.595319
 37.002237  41.098472       -65.237      1.323775
 38.004208  41.085447        73.805      0.418630
 39.005651  41.063747        49.044      0.644916
 40.006300  41.033384        30.181      0.859888
 41.005896  40.994375        -6.985      0.577030
 42.004180  40.946742       -46.335      1.651890
 43.000894  40.890514       -33.409      0.939088
 43.995787  40.825720        -3.834      1.527433
 44.988610  40.752397       -28.105      1.425604
 45.979120  40.670586       -46.786      1.346404
 46.967077  40.580333       -58.091      1.142746
 25.678615  39.882245        47.036      0.237601
 26.653987  39.965457        31.444      0.373373
 27.631619  40.040475        17.604      0.520459
 28.611286  40.107261         1.942      0.214972
 29.592760  40.165777       -80.353      0.463887
 30.575806  40.215992        88.135      1.154060
 31.560190  40.257880        84.581      1.821605
 32.545671  40.291418       -87.784      2.115778
 33.532009  40.316587       -78.185      2.353378
 34.518960  40.333374       -69.558      1.946063
 35.506279  40.341770       -62.763      2.013949
 36.493721  40.341770       -67.730      2.240235
 37.481041  40.333374       -75.272      1.572690
 38.467992  40.316587        72.194      0.939088
 39.454329  40.291418        56.490      1.210632
 40.439811  40.257880        41.882      0.984346
 41.424194  40.215992       -24.351      0.554402
 42.407241  40.165777       -37.740      1.244575
 43.388714  40.107261       -23.682      1.221946
 44.368381  40.040475       -16.666      1.584005
 45.346013  39.965457       -24.913      1.516119
 46.321385  39.882245       -36.508      0.927774
 26.307438  39.174812        49.842      0.520459
 27.270322  39.251299        33.351      0.882517
 28.235200  39.319840        25.228      0.825945
 29.201859  39.380402        53.710      0.124458
 30.170087  39.432952        89.068      1.074860
 31.139664  39.477464        89.779      1.708462
 32.110370  39.513914       -82.392      1.663205
 33.081982  39.542284       -65.950      1.719776
 34.054276  39.562559       -54.295      1.719776
 35.027024  39.574728       -55.738      1.866863
 36.000000  39.578785       -69.648      1.142746
 36.972976  39.574728       -82.306      1.006974
 37.945725  39.562559        75.653      0.226286
 38.918018  39.542284        45.851      1.459547
 39.889631  39.513914        42.578      2.002634
 40.860337  39.477464        18.667      0.825945
 41.829914  39.432952       -21.429      0.543087
 42.798141  39.380402       -45.327      0.486516
 43.764801  39.319840       -34.878      0.463887
 44.729678  39.251299       -18.068      0.916460
 45.692562  39.174812       -20.035      0.871203
 46.653246  39.090419       -20.957      0.701488
 25.024845  38.295225        88.752      1.029603
 25.971274  38.380587        83.664      0.905145
 26.919840  38.458323        65.470      0.644916
 27.870351  38.528395        39.319      0.633602
 28.822613  38.590768        34.369      0.282858
 29.776429  38.645413       -89.230      0.792002
 30.731596  38.692302       -88.458      1.878177
 31.687913  38.731411       -78.757      1.923434
 32.645173  38.762722       -63.977      1.040917
 33.603169  38.786219        -2.353      0.577030
 34.561690  38.801891       -29.945      0.282858
 35.520528  38.809728        89.855      0.973031
 36.479472  38.809728        62.344      1.742405
 37.438310  38.801891        46.335      0.769374
 38.396832  38.786219         8.629      1.335090
 39.354827  38.762722        31.723      1.776348
 40.312087  38.731411        42.709      1.742405
 41.268404  38.692302        37.696      0.758059
 42.223572  38.645413        87.510      0.599659
 43.177387  38.590768        84.920      1.527433
 44.129650  38.528395        82.976      0.690173
 45.080161  38.458323        -4.953      0.305487
 46.028727  38.380587       -12.333      0.599659
 24.712452  37.496777       -89.457      1.086175
 25.645047  37.582904        89.373      1.493490
 26.579711  37.661678       -87.771      1.561376
 27.516267  37.733062       -73.328      0.961717
 28.454536  37.797022       -52.487      0.633602
 29.394337  37.853530       -63.472      0.690173
 30.335484  37.902557       -82.644      1.504804
 31.277789  37.944081       -82.389      2.127092
 32.221064  37.978083       -70.375      1.482176
 33.165116  38.004545        35.249      0.463887
 34.109752  38.023456        33.825      1.572690
 35.054779  38.034806        70.138      0.758059
 36.000000  38.038590        70.631      1.708462
 36.945222  38.034806        64.902      1.878177
 37.890248  38.023456        -8.066      0.384687
 38.834885  38.004545        -9.727      1.142746
 39.778937  37.978083        47.628      0.893831
 40.722211  37.944081        55.125      1.199318
 41.664517  37.902557       -86.654      0.588345
 42.605664  37.853530        88.085      2.760694
 43.545464  37.797022        83.011      3.269838
 44.483734  37.733062        77.459      1.221946
 45.420290  37.661678        30.635      0.135772
 24.409164  36.695187       -82.983      0.769374
 25.328331  36.781882       -88.087      1.504804
 26.249495  36.861490       -86.589      2.251549
 27.172495  36.933975       -75.561      2.070520
 28.097165  36.999306       -58.217      1.798977
 29.023337  37.057452       -55.689      1.199318
 29.950842  37.108388       -72.973      1.029603
 30.879507  37.152091       -87.330      1.504804
 31.809156  37.188540       -86.084      1.233261
 32.739614  37.217719        35.442      0.135772
 33.670702  37.239616        27.215      1.538747
 34.602240  37.254219        31.835      1.029603
 35.534050  37.261522        85.696      0.814631
 36.465950  37.261522        77.373      1.584005
 37.397760  37.254219       -87.309      1.335090
 38.329299  37.239616       -52.223      1.199318
 39.260387  37.217719       -50.473      0.644916
 40.190844  37.188540        74.791      0.656230
 41.120494  37.152091       -86.032      0.814631
 42.049159  37.108388       -86.142      2.274178
 42.976663  37.057452        86.547      4.525727
 43.902836  36.999306        83.705      3.439553
 44.827506  36.933975        80.710      1.323775
 24.114587  35.890566       -67.005      0.452573
