       Lon        Lat  FastDir(deg)  Amplitude(%)
 25.438874  45.821367       -24.839      0.116514
 26.539493  45.918467       -23.400      0.139817
 27.643759  46.004965       -30.558      0.046606
 25.064990  45.053549       -25.471      0.186423
 26.147003  45.152786       -24.785      0.314588
 27.232597  45.241772       -25.977      0.233028
 28.321398  45.320443       -53.498      0.151468
 29.413027  45.388742       -59.813      0.198074
 30.507095  45.446619       -64.733      0.069908
 24.703642  44.282116       -25.510      0.069908
 25.767646  44.383234       -25.334      0.279634
 26.835152  44.474441       -27.726      0.431102
 27.905816  44.555675       -43.976      0.477708
 28.979288  44.626880       -55.166      0.734039
 30.055211  44.688006       -58.014      0.512662
 31.133218  44.739011       -63.305      0.221377
 32.212938  44.779858       -70.464      0.081560
 33.293997  44.810519       -84.579      0.034954
 34.376014  44.830972        80.939      0.023303
 25.400818  43.609936       -25.914      0.104863
 26.450801  43.703108       -27.394      0.349542
 27.503883  43.786639       -36.033      0.582571
 28.559741  43.860476       -49.117      0.932113
 29.618044  43.924568       -53.834      1.048627
 30.678456  43.978874       -57.334      0.803947
 31.740633  44.023356       -61.608      0.431102
 32.804229  44.057984       -64.406      0.186423
 33.868892  44.082735       -74.685      0.069908
 34.934268  44.097593       -83.225      0.046606
 36.000000  44.102547       -77.334      0.034954
 37.065733  44.097593       -80.756      0.023303
 38.131109  44.082735       -78.071      0.011651
 26.078951  42.927905       -29.046      0.151468
 27.114989  43.013478       -31.313      0.407799
 28.153759  43.089682       -36.006      0.617525
 29.194958  43.156467       -45.504      0.780644
 30.238272  43.213792       -51.791      0.943764
 31.283388  43.261619       -55.742      0.885507
 32.329982  43.299918       -60.748      0.640828
 33.377731  43.328664       -54.891      0.396148
 34.426308  43.347839       -40.876      0.291285
 35.475381  43.357429       -53.469      0.163120
 36.524620  43.357429       -78.098      0.151468
 37.573693  43.347839       -73.506      0.093211
 38.622269  43.328664       -72.522      0.058257
 39.670018  43.299918       -83.064      0.046606
 40.716613  43.261619       -87.229      0.034954
 41.761728  43.213792        -6.859      0.081560
 26.738554  42.236329       -36.630      0.198074
 27.760748  42.314644       -30.780      0.466056
 28.785340  42.383859       -28.352      0.524313
 29.812045  42.443932       -38.559      0.489359
 30.840569  42.494826       -50.778      0.652479
 31.870617  42.536509       -61.294      0.664130
 32.901888  42.568957       -70.426      0.640828
 33.934080  42.592148       -34.701      1.223398
 34.966886  42.606068       -34.043      1.444775
 36.000000  42.610709       -74.175      0.594222
 37.033114  42.606068       -75.926      0.442754
 38.065921  42.592148       -65.861      0.267982
 39.098112  42.568957       -51.269      0.128166
 40.129384  42.536509       -31.766      0.081560
 41.159432  42.494826       -12.484      0.233028
 42.187956  42.443932        -6.101      0.699085
 43.214660  42.383859        -5.214      0.722387
 44.239253  42.314644        -5.419      0.139817
 45.261446  42.236329        85.433      0.023303
 26.374027  41.455322       -67.907      0.069908
 27.380139  41.535503       -39.022      0.244680
 28.388611  41.606894       -25.665      0.489359
 29.399179  41.669454       -20.139      0.384497
 30.411573  41.723145       -55.454      0.093211
 31.425520  41.767937        79.323      0.512662
 32.440743  41.803802        80.646      1.013673
 33.456961  41.830719       -69.962      0.990370
 34.473891  41.848673       -38.501      2.400191
 35.491250  41.857653       -61.872      0.990370
 36.508751  41.857653        83.052      0.920461
 37.526110  41.848673       -76.999      0.734039
 38.543040  41.830719       -51.378      0.535965
 39.559258  41.803802       -27.638      0.629176
 40.574481  41.767937       -22.401      0.722387
 41.588428  41.723145       -10.040      1.433123
 42.600822  41.669454        -4.961      2.073951
 43.611390  41.606894        -4.972      1.118535
 44.619862  41.535503       -16.753      0.046606
 45.625974  41.455322        88.883      0.034954
 26.020881  40.670586       -85.246      0.093211
 27.011390  40.752397       -80.163      0.186423
 28.004214  40.825720       -48.185      0.209725
 28.999107  40.890514       -26.019      0.244680
 29.995821  40.946742        63.364      0.104863
 30.994104  40.994375        67.997      1.036976
 31.993700  41.033384        76.789      1.607895
 32.994350  41.063747       -89.374      1.316609
 33.995792  41.085447       -61.354      1.456426
 34.997764  41.098472       -55.516      0.792296
 36.000000  41.102815        55.825      1.048627
 37.002237  41.098472        63.959      1.200095
 38.004208  41.085447       -85.329      0.734039
 39.005651  41.063747       -33.331      1.165141
 40.006300  41.033384       -30.524      1.363215
 41.005896  40.994375       -23.080      1.316609
 42.004180  40.946742       -10.760      1.805969
 43.000894  40.890514        -5.760      2.062300
 43.995787  40.825720       -14.156      0.431102
 44.988610  40.752397       -73.811      0.104863
 45.979120  40.670586       -85.218      0.034954
 25.678615  39.882245       -69.176      0.069908
 26.653987  39.965457       -82.333      0.349542
 27.631619  40.040475       -89.074      0.722387
 28.611286  40.107261       -88.656      0.722387
 29.592760  40.165777       -89.269      0.594222
 30.575806  40.215992        85.262      0.570919
 31.560190  40.257880        87.856      0.873856
 32.545671  40.291418       -50.840      1.025324
 33.532009  40.316587       -30.869      1.514683
 34.518960  40.333374       -24.677      1.328261
 35.506279  40.341770         6.754      0.722387
 36.493721  40.341770        43.709      1.095233
 37.481041  40.333374        61.133      1.258352
 38.467992  40.316587       -44.436      0.174771
 39.454329  40.291418       -23.937      2.458448
 40.439811  40.257880       -20.675      3.169184
 41.424194  40.215992       -18.470      1.596243
 42.407241  40.165777        -7.048      1.165141
 43.388714  40.107261        -8.719      0.873856
 44.368381  40.040475       -45.414      0.151468
 45.346013  39.965457       -74.670      0.069908
 25.346755  39.090419        -6.262      0.069908
 26.307438  39.174812       -42.633      0.314588
 27.270322  39.251299       -63.215      0.850553
 28.235200  39.319840       -79.360      1.002021
 29.201859  39.380402       -75.691      0.815599
 30.170087  39.432952       -59.082      0.897159
 31.139664  39.477464       -54.282      0.780644
 32.110370  39.513914       -24.956      1.374866
 33.081982  39.542284       -17.000      3.542029
 34.054276  39.562559        -9.824      2.574962
 35.027024  39.574728        -7.399      2.015694
 36.000000  39.578785        -8.804      1.071930
 36.972976  39.574728        55.437      0.675782
 37.945725  39.562559        55.172      1.176792
 38.918018  39.542284        -6.976      0.605873
 39.889631  39.513914       -13.538      3.006064
 40.860337  39.477464        -7.132      2.027345
 41.829914  39.432952        13.729      0.862204
 42.798141  39.380402         2.471      0.967067
 43.764801  39.319840        -2.657      0.664130
 44.729678  39.251299       -33.618      0.046606
 45.692562  39.174812       -70.327      0.023303
 25.024845  38.295225        30.329      0.151468
 25.971274  38.380587         1.272      0.267982
 26.919840  38.458323       -35.364      0.908810
 27.870351  38.528395       -42.778      1.118535
 28.822613  38.590768       -37.323      0.943764
 29.776429  38.645413       -35.623      1.281655
 30.731596  38.692302       -50.652      0.827250
 31.687913  38.731411        67.847      0.198074
 32.645173  38.762722        -2.778      1.747712
 33.603169  38.786219        -4.465      2.260374
 34.561690  38.801891        -4.030      1.596243
 35.520528  38.809728       -16.765      1.339912
 36.479472  38.809728       -38.206      0.664130
 37.438310  38.801891        56.393      0.710736
 38.396832  38.786219        40.732      1.130187
 39.354827  38.762722        -1.751      0.512662
 40.312087  38.731411         4.753      0.605873
 41.268404  38.692302        33.240      1.048627
 42.223572  38.645413        22.203      1.002021
 43.177387  38.590768        14.500      0.617525
 44.129650  38.528395        13.555      0.198074
 45.080161  38.458323        23.065      0.000000
 24.712452  37.496777        37.189      0.314588
 25.645047  37.582904        43.825      0.838902
 26.579711  37.661678        48.864      0.745690
 27.516267  37.733062        88.388      0.431102
 28.454536  37.797022       -26.193      0.314588
 29.394337  37.853530       -12.299      0.885507
 30.335484  37.902557       -78.481      0.582571
 31.277789  37.944081        81.545      1.619546
 32.221064  37.978083        68.732      0.734039
 33.165116  38.004545       -11.003      1.223398
 34.109752  38.023456       -23.087      0.547616
 35.054779  38.034806       -76.496      0.326239
 36.000000  38.038590       -40.244      0.547616
 36.945222  38.034806       -17.649      1.304958
 37.890248  38.023456        -5.937      1.840923
 38.834885  38.004545        -6.030      1.945786
 39.778937  37.978083        -7.624      1.421472
 40.722211  37.944081         7.736      1.328261
 41.664517  37.902557        12.058      1.444775
 42.605664  37.853530        28.992      0.652479
 43.545464  37.797022        69.484      0.594222
 44.483734  37.733062        69.653      0.233028
 24.409164  36.695187        11.601      0.454405
 25.328331  36.781882        38.217      1.141838
 26.249495  36.861490        54.391      2.190465
 27.172495  36.933975        65.372      2.947807
 28.097165  36.999306        68.030      2.796339
 29.023337  37.057452        34.395      1.747712
 29.950842  37.108388        50.021      1.246701
 30.879507  37.152091        82.526      2.458448
 31.809156  37.188540        88.091      2.167162
 32.739614  37.217719       -77.388      0.908810
 33.670702  37.239616       -71.609      0.582571
 34.602240  37.254219        72.779      1.794317
 35.534050  37.261522        63.391      1.945786
 36.465950  37.261522         0.941      1.363215
 37.397760  37.254219       -10.792      2.621567
 38.329299  37.239616       -11.049      2.668173
 39.260387  37.217719        -8.245      2.155511
 40.190844  37.188540        -2.862      1.817620
 41.120494  37.152091         1.166      1.514683
 42.049159  37.108388         7.762      0.967067
 42.976663  37.057452        71.386      0.442754
 43.902836  36.999306        78.718      0.419451
 24.114587  35.890566         0.875      0.594222
 25.020718  35.977638        13.277      1.398169
 25.928773  36.057883        46.155      2.493402
 26.838602  36.131267        61.387      4.112948
 27.750054  36.197758        66.610      4.660564
 28.662974  36.257327        59.099      3.343955
 29.577207  36.309950        47.257      2.272025
 30.492593  36.355602        73.547      2.038997
 31.408970  36.394265        88.670      2.015694
 32.326177  36.425921       -81.735      1.561289
