       Lon        Lat  FastDir(deg)  Amplitude(%)
 24.342295  45.713739       -71.084      0.038464
 25.438874  45.821367       -44.836      0.141035
 26.539493  45.918467       -32.095      0.217964
 27.643759  46.004965       -37.695      0.089750
 23.986916  44.944132       -77.393      0.051286
 25.064990  45.053549       -51.123      0.217964
 26.147003  45.152786       -38.125      0.487213
 27.232597  45.241772       -31.033      0.371821
 28.321398  45.320443       -55.341      0.307714
 29.413027  45.388742       -62.039      0.448749
 30.507095  45.446619       -65.633      0.179500
 24.703642  44.282116       -72.967      0.153857
 25.767646  44.383234       -45.730      0.435928
 26.835152  44.474441       -31.345      0.679535
 27.905816  44.555675       -38.242      0.756463
 28.979288  44.626880       -57.183      1.359069
 30.055211  44.688006       -61.164      1.115462
 31.133218  44.739011       -64.366      0.564142
 32.212938  44.779858       -68.717      0.205142
 33.293997  44.810519       -72.412      0.051286
 34.376014  44.830972       -44.234      0.012821
 24.354249  43.507186       -87.969      0.128214
 25.400818  43.609936       -73.224      0.269250
 26.450801  43.703108       -35.840      0.538499
 27.503883  43.786639       -26.049      0.987248
 28.559741  43.860476       -45.777      1.410355
 29.618044  43.924568       -56.837      1.936032
 30.678456  43.978874       -60.512      1.782175
 31.740633  44.023356       -62.409      1.102641
 32.804229  44.057984       -64.914      0.538499
 33.868892  44.082735       -66.836      0.217964
 34.934268  44.097593       -64.325      0.102571
 36.000000  44.102547       -65.026      0.051286
 37.065733  44.097593       -60.269      0.025643
 38.131109  44.082735       -66.782      0.025643
 24.016259  42.728872        89.066      0.076928
 25.045944  42.833017       -88.069      0.256428
 26.078951  42.927905       -62.737      0.243607
 27.114989  43.013478       -20.516      0.756463
 28.153759  43.089682       -21.398      1.089819
 29.194958  43.156467       -43.607      1.128284
 30.238272  43.213792       -56.556      1.730890
 31.283388  43.261619       -58.895      1.936032
 32.329982  43.299918       -60.172      1.602676
 33.377731  43.328664       -66.583      1.115462
 34.426308  43.347839       -77.915      0.794927
 35.475381  43.357429       -78.818      0.435928
 36.524620  43.357429       -66.997      0.192321
 37.573693  43.347839       -68.578      0.115393
 38.622269  43.328664       -73.054      0.115393
 39.670018  43.299918       -71.372      0.089750
 40.716613  43.261619       -72.303      0.076928
 41.761728  43.213792       -86.734      0.128214
 24.702482  42.052593        89.997      0.205142
 25.719041  42.148961       -88.385      0.294892
 26.738554  42.236329       -21.108      0.294892
 27.760748  42.314644       -13.955      1.025712
 28.785340  42.383859       -16.769      0.987248
 29.812045  42.443932       -38.719      0.641070
 30.840569  42.494826       -55.219      1.115462
 31.870617  42.536509       -58.163      1.551390
 32.901888  42.568957       -65.534      1.525747
 33.934080  42.592148       -85.640      2.564281
 34.966886  42.606068        89.594      3.077137
 36.000000  42.610709       -81.205      1.051355
 37.033114  42.606068       -72.261      0.487213
 38.065921  42.592148       -76.675      0.423106
 39.098112  42.568957       -81.014      0.448749
 40.129384  42.536509       -85.038      0.487213
 41.159432  42.494826       -89.325      0.551320
 42.187956  42.443932        88.065      0.743642
 43.214660  42.383859        87.940      0.666713
 44.239253  42.314644        88.995      0.141035
 24.369915  41.268780       -89.509      0.141035
 25.370535  41.366397        87.568      0.256428
 26.374027  41.455322        45.108      0.064107
 27.380139  41.535503        -7.741      0.692356
 28.388611  41.606894       -12.772      1.089819
 29.399179  41.669454       -14.741      0.717999
 30.411573  41.723145       -32.269      0.115393
 31.425520  41.767937       -77.810      0.333357
 32.440743  41.803802       -79.830      0.589785
 33.456961  41.830719        87.515      1.653961
 34.473891  41.848673        86.239      5.128562
 35.491250  41.857653        89.123      4.128493
 36.508751  41.857653       -81.237      1.256498
 37.526110  41.848673       -74.324      0.653892
 38.543040  41.830719       -80.983      0.794927
 39.559258  41.803802       -89.692      1.282141
 40.574481  41.767937        84.599      1.577033
 41.588428  41.723145        84.349      1.641140
 42.600822  41.669454        85.677      1.653961
 43.611390  41.606894        87.482      0.794927
 44.619862  41.535503       -11.748      0.038464
 24.047752  40.481686       -88.441      0.089750
