       lon        lat  Cref(km/s)   C(km/s)  Cpert(%)
 33.272336  33.583538       3.308  3.310126 -0.064269
 33.472336  33.583538       3.308  3.310754 -0.083242
 32.672336  33.783538       3.308  3.308906 -0.027400
 32.872336  33.783538       3.308  3.309085 -0.032811
 33.072336  33.783538       3.308  3.309688 -0.051039
 33.272336  33.783538       3.308  3.310201 -0.066550
 33.472336  33.783538       3.308  3.310705 -0.081775
 33.672336  33.783538       3.308  3.311227 -0.097538
 33.872336  33.783538       3.308  3.311876 -0.117176
 34.072336  33.783538       3.308  3.311961 -0.119744
 25.472336  33.983538       3.308  3.295649  0.373380
 25.672336  33.983538       3.308  3.297891  0.305603
 25.872336  33.983538       3.308  3.299924  0.244132
 32.472336  33.983538       3.308  3.308906 -0.027400
 32.672336  33.983538       3.308  3.308906 -0.027400
 32.872336  33.983538       3.308  3.309228 -0.037121
 33.072336  33.983538       3.308  3.309716 -0.051887
 33.272336  33.983538       3.308  3.310217 -0.067020
 33.472336  33.983538       3.308  3.310720 -0.082222
 33.672336  33.983538       3.308  3.311218 -0.097286
 33.872336  33.983538       3.308  3.311716 -0.112327
 34.072336  33.983538       3.308  3.311961 -0.119744
 34.272336  33.983538       3.308  3.311961 -0.119744
 25.072336  34.183538       3.308  3.294260  0.415350
 25.272336  34.183538       3.308  3.294735  0.400986
 25.472336  34.183538       3.308  3.296670  0.342518
 25.672336  34.183538       3.308  3.298356  0.291525
 25.872336  34.183538       3.308  3.300022  0.241162
 26.072336  34.183538       3.308  3.301750  0.188943
 26.272336  34.183538       3.308  3.305273  0.082440
 26.472336  34.183538       3.308  3.307728  0.008208
 26.672336  34.183538       3.308  3.309456 -0.044011
 26.872336  34.183538       3.308  3.311219 -0.097320
 27.072336  34.183538       3.308  3.313312 -0.160591
 27.272336  34.183538       3.308  3.314032 -0.182351
 27.472336  34.183538       3.308  3.313516 -0.166748
 27.672336  34.183538       3.308  3.313020 -0.151752
 27.872336  34.183538       3.308  3.312454 -0.134648
 28.272336  34.183538       3.308  3.313516 -0.166759
 28.472336  34.183538       3.308  3.314547 -0.197919
 28.672336  34.183538       3.308  3.315648 -0.231188
 32.272336  34.183538       3.308  3.307529  0.014239
 32.472336  34.183538       3.308  3.307820  0.005446
 32.672336  34.183538       3.308  3.308131 -0.003967
 32.872336  34.183538       3.308  3.309217 -0.036800
 33.072336  34.183538       3.308  3.310275 -0.068763
 33.272336  34.183538       3.308  3.310811 -0.084973
 33.472336  34.183538       3.308  3.311213 -0.097125
 33.672336  34.183538       3.308  3.311598 -0.108761
 33.872336  34.183538       3.308  3.312086 -0.123505
 34.072336  34.183538       3.308  3.312427 -0.133822
 34.272336  34.183538       3.308  3.312574 -0.138271
 24.872336  34.383538       3.308  3.293444  0.440010
 25.072336  34.383538       3.308  3.294003  0.423112
 25.272336  34.383538       3.308  3.295275  0.384672
 25.472336  34.383538       3.308  3.296885  0.335995
 25.672336  34.383538       3.308  3.298557  0.285449
 25.872336  34.383538       3.308  3.300228  0.234937
 26.072336  34.383538       3.308  3.301947  0.182970
 26.272336  34.383538       3.308  3.305455  0.076948
 26.472336  34.383538       3.308  3.307993  0.000218
 26.672336  34.383538       3.308  3.309646 -0.049755
 26.872336  34.383538       3.308  3.311293 -0.099544
 27.072336  34.383538       3.308  3.312866 -0.147098
 27.272336  34.383538       3.308  3.313890 -0.178063
 27.472336  34.383538       3.308  3.313447 -0.164650
 27.672336  34.383538       3.308  3.313003 -0.151237
 27.872336  34.383538       3.308  3.312552 -0.137594
 28.072336  34.383538       3.308  3.312954 -0.149769
 28.272336  34.383538       3.308  3.313769 -0.174383
 28.472336  34.383538       3.308  3.314615 -0.199960
 28.672336  34.383538       3.308  3.315474 -0.225926
 28.872336  34.383538       3.308  3.316981 -0.271485
 29.072336  34.383538       3.308  3.318842 -0.327763
 29.272336  34.383538       3.308  3.319902 -0.359783
 29.472336  34.383538       3.308  3.320952 -0.391539
 29.672336  34.383538       3.308  3.322097 -0.426138
 29.872336  34.383538       3.308  3.323230 -0.460393
 30.072336  34.383538       3.308  3.323101 -0.456507
 30.272336  34.383538       3.308  3.322982 -0.452896
 30.472336  34.383538       3.308  3.322856 -0.449101
 30.672336  34.383538       3.308  3.322116 -0.426711
 30.872336  34.383538       3.308  3.319613 -0.351070
 31.072336  34.383538       3.308  3.317614 -0.290619
 31.272336  34.383538       3.308  3.315631 -0.230672
 31.472336  34.383538       3.308  3.313280 -0.159606
 31.672336  34.383538       3.308  3.310627 -0.079402
 31.872336  34.383538       3.308  3.309224 -0.036995
 32.072336  34.383538       3.308  3.308110 -0.003313
 32.272336  34.383538       3.308  3.307370  0.019042
 32.472336  34.383538       3.308  3.307040  0.029016
 32.672336  34.383538       3.308  3.308265 -0.008002
 32.872336  34.383538       3.308  3.309288 -0.038944
 33.072336  34.383538       3.308  3.310359 -0.071308
 33.272336  34.383538       3.308  3.311390 -0.102491
 33.472336  34.383538       3.308  3.311965 -0.119870
 33.672336  34.383538       3.308  3.312460 -0.134831
 33.872336  34.383538       3.308  3.312985 -0.150686
 34.072336  34.383538       3.308  3.313070 -0.153254
 34.272336  34.383538       3.308  3.313154 -0.155811
 34.472336  34.383538       3.308  3.311040 -0.091898
 34.672336  34.383538       3.308  3.308277 -0.008369
 35.472336  34.383538       3.308  3.301295  0.202700
 35.672336  34.383538       3.308  3.301529  0.195626
 24.672336  34.583538       3.308  3.291075  0.511650
 24.872336  34.583538       3.308  3.291810  0.489421
 25.072336  34.583538       3.308  3.292903  0.456369
 25.272336  34.583538       3.308  3.294893  0.396216
 25.472336  34.583538       3.308  3.297167  0.327465
 25.672336  34.583538       3.308  3.298653  0.282560
 25.872336  34.583538       3.308  3.300094  0.239007
 26.072336  34.583538       3.308  3.302741  0.158964
 26.272336  34.583538       3.308  3.307089  0.027537
 26.472336  34.583538       3.308  3.309649 -0.049847
 26.672336  34.583538       3.308  3.311036 -0.091783
 26.872336  34.583538       3.308  3.312156 -0.125625
 27.072336  34.583538       3.308  3.313044 -0.152486
 27.272336  34.583538       3.308  3.313727 -0.173122
 27.472336  34.583538       3.308  3.313279 -0.159594
 27.672336  34.583538       3.308  3.312899 -0.148084
 27.872336  34.583538       3.308  3.312690 -0.141767
 28.072336  34.583538       3.308  3.313077 -0.153472
 28.272336  34.583538       3.308  3.313842 -0.176607
 28.472336  34.583538       3.308  3.314693 -0.202333
 28.672336  34.583538       3.308  3.315539 -0.227910
 28.872336  34.583538       3.308  3.317228 -0.278949
 29.072336  34.583538       3.308  3.318971 -0.331638
 29.272336  34.583538       3.308  3.319991 -0.362477
 29.472336  34.583538       3.308  3.321010 -0.393293
 29.672336  34.583538       3.308  3.322047 -0.424648
 29.872336  34.583538       3.308  3.323041 -0.454673
 30.072336  34.583538       3.308  3.323088 -0.456106
 30.272336  34.583538       3.308  3.322975 -0.452701
 30.472336  34.583538       3.308  3.322863 -0.449308
 30.672336  34.583538       3.308  3.321279 -0.401433
 30.872336  34.583538       3.308  3.319234 -0.339594
 31.072336  34.583538       3.308  3.317472 -0.286332
 31.272336  34.583538       3.308  3.315709 -0.233046
 31.472336  34.583538       3.308  3.313536 -0.167355
