     lon        lat  Cref(km/s)   C(km/s)  Cpert(%)
 31.6303  32.171891       4.961  4.960702  0.006015
 31.8303  32.171891       4.961  4.960702  0.006015
 32.0303  32.171891       4.961  4.960702  0.006015
 32.2303  32.171891       4.961  4.960702  0.006015
 32.4303  32.171891       4.961  4.960702  0.006015
 32.6303  32.171891       4.961  4.960702  0.006015
 32.8303  32.171891       4.961  4.960702  0.006015
 33.0303  32.171891       4.961  4.960403  0.012030
 33.2303  32.171891       4.961  4.960403  0.012030
 33.4303  32.171891       4.961  4.960403  0.012030
 33.6303  32.171891       4.961  4.960403  0.012030
 33.8303  32.171891       4.961  4.960403  0.012030
 34.0303  32.171891       4.961  4.961298 -0.006015
 34.2303  32.171891       4.961  4.961895 -0.018044
 34.4303  32.171891       4.961  4.962194 -0.024059
 34.6303  32.171891       4.961  4.962790 -0.036089
 34.8303  32.171891       4.961  4.963089 -0.042103
 35.0303  32.171891       4.961  4.963387 -0.048118
 35.2303  32.171891       4.961  4.963089 -0.042103
 35.4303  32.171891       4.961  4.962790 -0.036089
 35.6303  32.171891       4.961  4.962492 -0.030074
 35.8303  32.171891       4.961  4.962492 -0.030074
 36.0303  32.171891       4.961  4.962492 -0.030074
 36.2303  32.171891       4.961  4.962194 -0.024059
 31.0303  32.371891       4.961  4.961000  0.000000
 31.2303  32.371891       4.961  4.961000  0.000000
 31.4303  32.371891       4.961  4.961000  0.000000
 31.6303  32.371891       4.961  4.960702  0.006015
 31.8303  32.371891       4.961  4.960702  0.006015
 32.0303  32.371891       4.961  4.960702  0.006015
 32.2303  32.371891       4.961  4.960702  0.006015
 32.4303  32.371891       4.961  4.960702  0.006015
 32.6303  32.371891       4.961  4.960702  0.006015
 32.8303  32.371891       4.961  4.960403  0.012030
 33.0303  32.371891       4.961  4.960403  0.012030
 33.2303  32.371891       4.961  4.960403  0.012030
 33.4303  32.371891       4.961  4.960403  0.012030
 33.6303  32.371891       4.961  4.960403  0.012030
 33.8303  32.371891       4.961  4.960702  0.006015
 34.0303  32.371891       4.961  4.961597 -0.012030
 34.2303  32.371891       4.961  4.962194 -0.024059
 34.4303  32.371891       4.961  4.963089 -0.042103
 34.6303  32.371891       4.961  4.963686 -0.054133
 34.8303  32.371891       4.961  4.964282 -0.066162
 35.0303  32.371891       4.961  4.964282 -0.066162
 35.2303  32.371891       4.961  4.964282 -0.066162
 35.4303  32.371891       4.961  4.963984 -0.060148
