       lon        lat  Cref(km/s)   C(km/s)  Cpert(%)
 34.046853  30.451064       3.928  3.927594  0.010346
 34.246853  30.451064       3.928  3.927576  0.010789
 34.446853  30.451064       3.928  3.927559  0.011232
 34.646853  30.451064       3.928  3.927538  0.011774
 33.846853  30.651064       3.928  3.927607  0.010001
 34.046853  30.651064       3.928  3.927590  0.010444
 34.246853  30.651064       3.928  3.927574  0.010838
 34.446853  30.651064       3.928  3.927559  0.011232
 34.646853  30.651064       3.928  3.927543  0.011626
 34.846853  30.651064       3.928  3.927524  0.012119
 35.046853  30.651064       3.928  3.927524  0.012119
 33.646853  30.851064       3.928  3.927607  0.010001
 33.846853  30.851064       3.928  3.927605  0.010050
 34.046853  30.851064       3.928  3.927590  0.010444
 34.246853  30.851064       3.928  3.927568  0.010986
 34.446853  30.851064       3.928  3.927559  0.011232
 34.646853  30.851064       3.928  3.927543  0.011626
 34.846853  30.851064       3.928  3.927528  0.012021
 35.046853  30.851064       3.928  3.927524  0.012119
 33.246853  31.051064       3.928  3.927325  0.017193
 33.446853  31.051064       3.928  3.927377  0.015863
 33.646853  31.051064       3.928  3.927433  0.014434
 33.846853  31.051064       3.928  3.927421  0.014730
 34.046853  31.051064       3.928  3.927425  0.014632
 34.246853  31.051064       3.928  3.927419  0.014779
 34.446853  31.051064       3.928  3.927412  0.014976
 34.646853  31.051064       3.928  3.927404  0.015173
 34.846853  31.051064       3.928  3.927398  0.015321
 35.046853  31.051064       3.928  3.927404  0.015173
 35.246853  31.051064       3.928  3.927371  0.016011
 35.446853  31.051064       3.928  3.927410  0.015026
 32.846853  31.251064       3.928  3.927212  0.020051
 33.046853  31.251064       3.928  3.927168  0.021184
 33.246853  31.251064       3.928  3.927193  0.020543
 33.446853  31.251064       3.928  3.927222  0.019804
 33.646853  31.251064       3.928  3.927197  0.020445
 33.846853  31.251064       3.928  3.927195  0.020494
 34.046853  31.251064       3.928  3.927220  0.019854
 34.246853  31.251064       3.928  3.927243  0.019262
 34.446853  31.251064       3.928  3.927240  0.019361
 34.646853  31.251064       3.928  3.927222  0.019804
 34.846853  31.251064       3.928  3.927210  0.020100
 35.046853  31.251064       3.928  3.927247  0.019164
 35.246853  31.251064       3.928  3.927329  0.017095
 35.446853  31.251064       3.928  3.927433  0.014434
 35.646853  31.251064       3.928  3.927582  0.010641
 35.846853  31.251064       3.928  3.927776  0.005715
 32.646853  31.451064       3.928  3.927278  0.018376
 32.846853  31.451064       3.928  3.927199  0.020395
 33.046853  31.451064       3.928  3.927121  0.022366
 33.246853  31.451064       3.928  3.927096  0.023007
 33.446853  31.451064       3.928  3.927065  0.023795
 33.646853  31.451064       3.928  3.927029  0.024731
 33.846853  31.451064       3.928  3.927021  0.024928
 34.046853  31.451064       3.928  3.927021  0.024928
 34.246853  31.451064       3.928  3.927038  0.024484
 34.446853  31.451064       3.928  3.927054  0.024090
 34.646853  31.451064       3.928  3.927046  0.024287
 34.846853  31.451064       3.928  3.927083  0.023351
 35.046853  31.451064       3.928  3.927121  0.022366
 35.246853  31.451064       3.928  3.927298  0.017883
 35.446853  31.451064       3.928  3.927427  0.014582
 35.646853  31.451064       3.928  3.927576  0.010789
 35.846853  31.451064       3.928  3.927731  0.006848
 36.046853  31.451064       3.928  3.927905  0.002414
 36.246853  31.451064       3.928  3.927986  0.000345
 32.246853  31.651064       3.928  3.927292  0.018031
 32.446853  31.651064       3.928  3.927344  0.016701
 32.646853  31.651064       3.928  3.927278  0.018376
 32.846853  31.651064       3.928  3.927174  0.021036
 33.046853  31.651064       3.928  3.927087  0.023253
 33.246853  31.651064       3.928  3.927038  0.024484
 33.446853  31.651064       3.928  3.926945  0.026849
 33.646853  31.651064       3.928  3.926893  0.028179
 33.846853  31.651064       3.928  3.926870  0.028770
 34.046853  31.651064       3.928  3.926849  0.029312
 34.246853  31.651064       3.928  3.926814  0.030199
 34.446853  31.651064       3.928  3.926854  0.029165
 34.646853  31.651064       3.928  3.926928  0.027293
 34.846853  31.651064       3.928  3.926980  0.025962
 35.046853  31.651064       3.928  3.927058  0.023992
 35.246853  31.651064       3.928  3.927234  0.019509
 35.446853  31.651064       3.928  3.927421  0.014730
 35.646853  31.651064       3.928  3.927578  0.010740
 35.846853  31.651064       3.928  3.927733  0.006798
 36.046853  31.651064       3.928  3.927882  0.003005
 36.246853  31.651064       3.928  3.927986  0.000345
 36.446853  31.651064       3.928  3.927986  0.000345
 31.846853  31.851064       3.928  3.927001  0.025420
 32.046853  31.851064       3.928  3.927009  0.025223
 32.246853  31.851064       3.928  3.927083  0.023351
 32.446853  31.851064       3.928  3.927050  0.024189
 32.646853  31.851064       3.928  3.926988  0.025765
 32.846853  31.851064       3.928  3.926940  0.026997
 33.046853  31.851064       3.928  3.926874  0.028672
 33.246853  31.851064       3.928  3.926800  0.030544
 33.446853  31.851064       3.928  3.926678  0.033648
 33.646853  31.851064       3.928  3.926599  0.035667
 33.846853  31.851064       3.928  3.926572  0.036357
 34.046853  31.851064       3.928  3.926564  0.036554
 34.246853  31.851064       3.928  3.926407  0.040545
 34.446853  31.851064       3.928  3.926330  0.042515
 34.646853  31.851064       3.928  3.926338  0.042318
 34.846853  31.851064       3.928  3.926404  0.040643
 35.046853  31.851064       3.928  3.926551  0.036899
 35.246853  31.851064       3.928  3.926856  0.029115
 35.446853  31.851064       3.928  3.927108  0.022711
 35.646853  31.851064       3.928  3.927230  0.019607
 35.846853  31.851064       3.928  3.927418  0.014829
 36.046853  31.851064       3.928  3.927656  0.008769
 36.246853  31.851064       3.928  3.927897  0.002611
 36.446853  31.851064       3.928  3.927868  0.003350
 36.646853  31.851064       3.928  3.927843  0.003990
 31.646853  32.051064       3.928  3.926961  0.026455
 31.846853  32.051064       3.928  3.926903  0.027933
 32.046853  32.051064       3.928  3.926885  0.028376
 32.246853  32.051064       3.928  3.926794  0.030692
 32.446853  32.051064       3.928  3.926742  0.032022
 32.646853  32.051064       3.928  3.926705  0.032958
 32.846853  32.051064       3.928  3.926673  0.033795
 33.046853  32.051064       3.928  3.926601  0.035618
 33.246853  32.051064       3.928  3.926456  0.039313
 33.446853  32.051064       3.928  3.926332  0.042466
 33.646853  32.051064       3.928  3.926305  0.043156
 33.846853  32.051064       3.928  3.926334  0.042417
 34.046853  32.051064       3.928  3.926061  0.049363
 34.246853  32.051064       3.928  3.925823  0.055423
 34.446853  32.051064       3.928  3.925749  0.057295
 34.646853  32.051064       3.928  3.925782  0.056457
 34.846853  32.051064       3.928  3.925821  0.055472
 35.046853  32.051064       3.928  3.925869  0.054240
 35.246853  32.051064       3.928  3.926167  0.046653
 35.446853  32.051064       3.928  3.926545  0.037047
 35.646853  32.051064       3.928  3.926891  0.028229
 35.846853  32.051064       3.928  3.927087  0.023253
 36.046853  32.051064       3.928  3.927296  0.017932
 36.246853  32.051064       3.928  3.927514  0.012365
 36.446853  32.051064       3.928  3.927777  0.005665
 36.646853  32.051064       3.928  3.927741  0.006601
 31.246853  32.251064       3.928  3.927210  0.020100
 31.446853  32.251064       3.928  3.927079  0.023450
 31.646853  32.251064       3.928  3.926951  0.026701
 31.846853  32.251064       3.928  3.926823  0.029953
 32.046853  32.251064       3.928  3.926748  0.031874
 32.246853  32.251064       3.928  3.926585  0.036012
 32.446853  32.251064       3.928  3.926520  0.037687
 32.646853  32.251064       3.928  3.926452  0.039412
 32.846853  32.251064       3.928  3.926402  0.040692
 33.046853  32.251064       3.928  3.926260  0.044289
 33.246853  32.251064       3.928  3.926119  0.047885
 33.446853  32.251064       3.928  3.926015  0.050545
 33.646853  32.251064       3.928  3.926017  0.050496
 33.846853  32.251064       3.928  3.925873  0.054142
 34.046853  32.251064       3.928  3.925591  0.061334
 34.246853  32.251064       3.928  3.925281  0.069217
 34.446853  32.251064       3.928  3.925169  0.072074
 34.646853  32.251064       3.928  3.925155  0.072419
 34.846853  32.251064       3.928  3.925192  0.071483
 35.046853  32.251064       3.928  3.925275  0.069364
 35.246853  32.251064       3.928  3.925504  0.063551
 35.446853  32.251064       3.928  3.925906  0.053304
 35.646853  32.251064       3.928  3.926471  0.038919
 35.846853  32.251064       3.928  3.926771  0.031283
 36.046853  32.251064       3.928  3.927011  0.025174
 36.246853  32.251064       3.928  3.927243  0.019262
 36.446853  32.251064       3.928  3.927503  0.012661
 36.646853  32.251064       3.928  3.927650  0.008917
 30.846853  32.451064       3.928  3.927284  0.018228
 31.046853  32.451064       3.928  3.927290  0.018080
 31.246853  32.451064       3.928  3.927203  0.020297
 31.446853  32.451064       3.928  3.927044  0.024337
 31.646853  32.451064       3.928  3.926911  0.027736
 31.846853  32.451064       3.928  3.926792  0.030741
 32.046853  32.451064       3.928  3.926636  0.034731
 32.246853  32.451064       3.928  3.926427  0.040052
 32.446853  32.451064       3.928  3.926316  0.042860
 32.646853  32.451064       3.928  3.926233  0.044978
 32.846853  32.451064       3.928  3.926111  0.048082
 33.046853  32.451064       3.928  3.925904  0.053353
 33.246853  32.451064       3.928  3.925821  0.055472
 33.446853  32.451064       3.928  3.925777  0.056605
 33.646853  32.451064       3.928  3.925746  0.057393
 33.846853  32.451064       3.928  3.925453  0.064832
 34.046853  32.451064       3.928  3.925159  0.072320
 34.246853  32.451064       3.928  3.924915  0.078528
 34.446853  32.451064       3.928  3.924674  0.084686
 34.646853  32.451064       3.928  3.924436  0.090745
 34.846853  32.451064       3.928  3.924492  0.089316
 35.046853  32.451064       3.928  3.924805  0.081336
 35.246853  32.451064       3.928  3.925055  0.074981
 35.446853  32.451064       3.928  3.925310  0.068478
 35.646853  32.451064       3.928  3.925935  0.052565
 35.846853  32.451064       3.928  3.926456  0.039313
 36.046853  32.451064       3.928  3.926779  0.031086
 36.246853  32.451064       3.928  3.927067  0.023745
 36.446853  32.451064       3.928  3.927338  0.016848
 36.646853  32.451064       3.928  3.927590  0.010444
 36.846853  32.451064       3.928  3.927590  0.010444
 30.446853  32.651064       3.928  3.927439  0.014287
 30.646853  32.651064       3.928  3.927317  0.017390
 30.846853  32.651064       3.928  3.927272  0.018523
 31.046853  32.651064       3.928  3.927197  0.020445
 31.246853  32.651064       3.928  3.927073  0.023598
 31.446853  32.651064       3.928  3.926936  0.027095
 31.646853  32.651064       3.928  3.926810  0.030298
 31.846853  32.651064       3.928  3.926702  0.033056
 32.046853  32.651064       3.928  3.926516  0.037786
 32.246853  32.651064       3.928  3.926285  0.043648
 32.446853  32.651064       3.928  3.926164  0.046752
 32.646853  32.651064       3.928  3.926082  0.048821
 32.846853  32.651064       3.928  3.925852  0.054684
 33.046853  32.651064       3.928  3.925568  0.061925
 33.246853  32.651064       3.928  3.925368  0.067000
 33.446853  32.651064       3.928  3.925314  0.068379
 33.646853  32.651064       3.928  3.925142  0.072764
 33.846853  32.651064       3.928  3.924503  0.089021
 34.046853  32.651064       3.928  3.923919  0.103899
 34.246853  32.651064       3.928  3.923594  0.112175
 34.446853  32.651064       3.928  3.923437  0.116166
 34.646853  32.651064       3.928  3.923025  0.126659
 34.846853  32.651064       3.928  3.922897  0.129910
 35.046853  32.651064       3.928  3.923056  0.125871
 35.246853  32.651064       3.928  3.923309  0.119417
 35.446853  32.651064       3.928  3.923828  0.106214
 35.646853  32.651064       3.928  3.924805  0.081336
 35.846853  32.651064       3.928  3.925610  0.060842
 36.046853  32.651064       3.928  3.925869  0.054240
 36.246853  32.651064       3.928  3.926268  0.044092
 36.446853  32.651064       3.928  3.926818  0.030101
 36.646853  32.651064       3.928  3.927487  0.013055
 36.846853  32.651064       3.928  3.927458  0.013794
